Q9Y6W5 Q8IZP0
P20963 P29353
Q13588 P29353
P62993 P29353
Q07889 P29353
P43403 P29353
Q06124 Q9Y3P8
P06241 Q86WV1
P62993 Q86WV1
P06239 Q86WV1
P07948 Q86WV1
P08575 Q86WV1
O95267 Q86WV1
P12931 Q86WV1
O15117 O75563
P20963 Q13239
O43561 Q13239
P43405 Q13239
P43403 Q13239
P22681 Q9H6Q3
P20963 Q9H6Q3
P43403 Q9H6Q3
Q13588 Q07889
P62993 Q07889
P19174 Q07889
P29353 Q07889
P43403 Q07889
P62993 Q07890
P19174 Q07890
Q86WV1 P12931
P20963 P42229
P20963 P51692
Q04759 Q9UEW8
P22681 P43405
Q13191 P43405
P06241 P43405
Q8NET5 P43405
Q8NET5 P43405
Q13239 P43405
Q9UDY8 Q9Y4K3
P20963 Q6PIZ9
P07766 Q6PIZ9
P27986 Q6PIZ9
O00459 Q6PIZ9
P04234 P04435
P07766 P04435
P09693 P04435
P15498 P68366
P43403 P68366
P15498 P07437
P43403 P07437
P06241 P42681
P20963 Q13432
P07766 Q13432
P01730 Q13432
P06241 Q13432
P06239 Q13432
O15117 P50552
P52566 P15498
P50570 P15498
O43561 P15498
Q13094 P15498
P16333 P15498
Q14289 P15498
P78314 P15498
Q15464 P15498
P68366 P15498
P07437 P15498
Q13094 Q9UKW4
P78314 Q9UKW4
P60953 P42768
P46109 P42768
O15117 P42768
P06241 P42768
Q13094 P42768
P16333 P42768
O43586 P42768
Q05209 P42768
O43516 P42768
P43403 P42768
Q8IZP0 Q9Y6W5
P46109 O43516
P42768 O43516
P43403 O43516
P22681 P27348
Q13094 P63104
P00519 P43403
Q9BXL7 P43403
P22681 P43403
Q13191 P43403
P20963 P43403
P07766 P43403
P06127 P43403
P46108 P43403
P46109 P43403
Q9H4E7 P43403
P51452 P43403
P51452 P43403
Q96P31 P43403
P06241 P43403
Q9UQC2 P43403
Q9UQC2 P43403
P62993 P43403
P06239 P43403
P15941 P43403
P15941 P43403
Q8NET5 P43403
Q8NET5 P43403
P19174 P43403
Q14289 P43403
P20936 P43403
Q15464 P43403
Q13239 P43403
Q9H6Q3 P43403
Q07889 P43403
P68366 P43403
P07437 P43403
P15498 P43403
P42768 P43403
O43516 P43403
