#tail	head	KSP index	path cost
Q99665	Q14765	1	7.50000e-01
P00533	P40763	2	7.50000e-01
P00533	P42224	3	7.50000e-01
P00533	P42229	4	7.50000e-01
P00533	P51692	5	7.50000e-01
P00533	P52630	6	7.50000e-01
P08887	P40763	7	7.50000e-01
P14784	P40763	8	7.50000e-01
P14784	P42224	9	7.50000e-01
P14784	P42229	10	7.50000e-01
P14784	P51692	11	7.50000e-01
P16871	P40763	12	7.50000e-01
P16871	P42229	13	7.50000e-01
P16871	P51692	14	7.50000e-01
P17181	P40763	15	7.50000e-01
P17181	P42224	16	7.50000e-01
P17181	P42226	17	7.50000e-01
P17181	P52630	18	7.50000e-01
P40189	P40763	19	7.50000e-01
P15260	P42224	20	7.50000e-01
P24394	P42226	21	7.50000e-01
P10912	P42229	22	7.50000e-01
P10912	P51692	23	7.50000e-01
P16471	P42229	24	7.50000e-01
P19235	P42229	25	7.50000e-01
P32927	P42229	26	7.50000e-01
P40189	P42224	27	7.50000e-01
P48357	P40763	28	7.50000e-01
P48551	P42224	29	7.50000e-01
P48551	P52630	30	7.50000e-01
Q13651	P40763	31	7.50000e-01
Q99062	P40763	32	7.50000e-01
P31785	P42226	33	6.33718e-01
Q5VWK5	P40763	34	6.33718e-01
P01589	Q14765	35	5.75549e-01
P00533	O00329	36	5.62500e-01
O00329	P40763	36	5.62500e-01
P00533	O00459	37	5.62500e-01
O00459	P40763	37	5.62500e-01
O00459	P42229	38	5.62500e-01
P00533	O14543	39	5.62500e-01
O14543	P40763	39	5.62500e-01
O14543	P42224	40	5.62500e-01
O14543	P42229	41	5.62500e-01
O14543	P51692	42	5.62500e-01
P00533	O14544	43	5.62500e-01
O14544	P40763	43	5.62500e-01
O14544	P42224	44	5.62500e-01
O14544	P42229	45	5.62500e-01
O14544	P51692	46	5.62500e-01
P00533	O15524	47	5.62500e-01
O15524	P40763	47	5.62500e-01
O15524	P42224	48	5.62500e-01
O15524	P42229	49	5.62500e-01
O15524	P51692	50	5.62500e-01
P00533	O60674	51	5.62500e-01
O60674	P40763	51	5.62500e-01
O60674	P42224	52	5.62500e-01
O60674	P42226	53	5.62500e-01
O60674	P42229	54	5.62500e-01
O60674	P51692	55	5.62500e-01
O60674	P52630	56	5.62500e-01
O60674	Q14765	57	5.62500e-01
P00533	O75159	58	5.62500e-01
O75159	P40763	58	5.62500e-01
O75159	P42224	59	5.62500e-01
O75159	P42229	60	5.62500e-01
O75159	P51692	61	5.62500e-01
P00533	P01100	62	5.62500e-01
P01100	P40763	62	5.62500e-01
P01100	P42224	63	5.62500e-01
P00533	P03372	64	5.62500e-01
P03372	P40763	64	5.62500e-01
P03372	P42229	65	5.62500e-01
P00533	P04150	66	5.62500e-01
P04150	P40763	66	5.62500e-01
P04150	P51692	67	5.62500e-01
P00533	P04626	68	5.62500e-01
P04626	P40763	68	5.62500e-01
P04626	P42224	69	5.62500e-01
P00533	P07332	70	5.62500e-01
P07332	P40763	70	5.62500e-01
P00533	P07900	71	5.62500e-01
P07900	P40763	71	5.62500e-01
P00533	P07948	72	5.62500e-01
P07948	P40763	72	5.62500e-01
P00533	P07949	73	5.62500e-01
P07949	P40763	73	5.62500e-01
P00533	P09619	74	5.62500e-01
P09619	P40763	74	5.62500e-01
P09619	P42224	75	5.62500e-01
P09619	P42229	76	5.62500e-01
P00533	P09769	77	5.62500e-01
P09769	P40763	77	5.62500e-01
P00533	P10275	78	5.62500e-01
P10275	P40763	78	5.62500e-01
P00533	P11309	79	5.62500e-01
P11309	P40763	79	5.62500e-01
P00533	P12931	80	5.62500e-01
P12931	P40763	80	5.62500e-01
P12931	P42224	81	5.62500e-01
P12931	P42226	82	5.62500e-01
P12931	P42229	83	5.62500e-01
P12931	P51692	84	5.62500e-01
P00533	P14618	85	5.62500e-01
P14618	P40763	85	5.62500e-01
P00533	P16234	86	5.62500e-01
P16234	P40763	86	5.62500e-01
P16234	P42224	87	5.62500e-01
P00533	P17706	88	5.62500e-01
P17706	P40763	88	5.62500e-01
P17706	P42224	89	5.62500e-01
P17706	P42226	90	5.62500e-01
