#tail	head	KSP index	path cost
P31948	P15336	136	4.21875e-01
P04150	P37231	137	4.21875e-01
P37231	P17676	137	4.21875e-01
P37231	P35222	138	4.21875e-01
P37231	Q04206	139	4.21875e-01
P37231	Q92793	140	4.21875e-01
P04150	P40763	141	4.21875e-01
P40763	P01100	141	4.21875e-01
P40763	P05412	142	4.21875e-01
P40763	P17676	143	4.21875e-01
P40763	P42229	144	4.21875e-01
P40763	P51692	145	4.21875e-01
P40763	Q04206	146	4.21875e-01
P40763	Q07666	147	4.21875e-01
P04150	P51532	148	4.21875e-01
P51532	O95644	148	4.21875e-01
P51532	P35222	149	4.21875e-01
P04150	P63165	150	4.21875e-01
P63165	P05412	150	4.21875e-01
P63165	P15336	151	4.21875e-01
P63165	P18146	152	4.21875e-01
P63165	P25963	153	4.21875e-01
P63165	Q92793	154	4.21875e-01
P04150	P63279	155	4.21875e-01
P63279	O95644	155	4.21875e-01
P63279	P05412	156	4.21875e-01
P63279	P15336	157	4.21875e-01
P63279	P16220	158	4.21875e-01
P63279	P25963	159	4.21875e-01
P63279	Q92793	160	4.21875e-01
P04150	P84022	161	4.21875e-01
P84022	P01100	161	4.21875e-01
P84022	P05412	162	4.21875e-01
P84022	P15336	163	4.21875e-01
P84022	P17676	164	4.21875e-01
P84022	P35222	165	4.21875e-01
P04150	Q00987	166	4.21875e-01
Q00987	P05412	166	4.21875e-01
Q00987	P18146	167	4.21875e-01
Q00987	Q04206	168	4.21875e-01
Q00987	Q92793	169	4.21875e-01
P04150	Q01105	170	4.21875e-01
Q01105	P01100	170	4.21875e-01
P04150	Q02790	171	4.21875e-01
Q02790	O14920	171	4.21875e-01
P04150	P04049	172	4.21875e-01
P04049	Q04206	172	4.21875e-01
P04150	Q04917	173	4.21875e-01
Q04917	P00519	173	4.21875e-01
Q04917	P25963	174	4.21875e-01
Q04917	Q04206	175	4.21875e-01
P04150	Q13263	176	4.21875e-01
Q13263	P17676	176	4.21875e-01
Q13263	Q04206	177	4.21875e-01
Q13263	Q14765	178	4.21875e-01
P04150	Q13451	179	4.21875e-01
Q13451	O14920	179	4.21875e-01
P04150	Q13547	180	4.21875e-01
Q13547	P05412	180	4.21875e-01
Q13547	P16220	181	4.21875e-01
Q13547	P25963	182	4.21875e-01
Q13547	P35222	183	4.21875e-01
Q13547	Q04206	184	4.21875e-01
P04150	Q14686	185	4.21875e-01
Q14686	P15336	185	4.21875e-01
Q14686	Q92793	186	4.21875e-01
P04150	Q15562	187	4.21875e-01
Q15562	O95644	187	4.21875e-01
P04150	Q15596	188	4.21875e-01
Q15596	P01100	188	4.21875e-01
Q15596	P35222	189	4.21875e-01
Q15596	Q92793	190	4.21875e-01
P04150	Q15654	191	4.21875e-01
Q15654	P01100	191	4.21875e-01
P04150	Q15788	192	4.21875e-01
Q15788	P01100	192	4.21875e-01
Q15788	P05412	193	4.21875e-01
Q15788	Q92793	194	4.21875e-01
P04150	Q71SY5	195	4.21875e-01
Q71SY5	P00519	195	4.21875e-01
Q71SY5	Q92793	196	4.21875e-01
P04150	Q92922	197	4.21875e-01
Q92922	O14920	197	4.21875e-01
Q92922	P01100	198	4.21875e-01
Q92922	P05412	199	4.21875e-01
P04150	Q99816	200	4.21875e-01
Q99816	P05412	200	4.21875e-01
P04150	Q99933	201	4.21875e-01
Q99933	P00519	201	4.21875e-01
P04150	Q9UER7	202	4.21875e-01
Q9UER7	P16220	202	4.21875e-01
Q9UER7	Q04206	203	4.21875e-01
Q9UER7	Q92793	204	4.21875e-01
