#tail	head	KSP index	path cost
P08069	P40763	1	7.50000e-01
P11362	P40763	2	7.50000e-01
P21802	P40763	3	7.50000e-01
P40189	P40763	4	7.50000e-01
P36896	P84022	5	7.50000e-01
P36896	Q15796	6	7.50000e-01
Q04771	P84022	7	7.50000e-01
Q04771	Q15796	8	7.50000e-01
Q04771	Q15797	9	7.50000e-01
Q04771	Q99717	10	7.50000e-01
Q13705	Q15796	11	7.50000e-01
P36894	Q15797	12	7.50000e-01
P36894	Q99717	13	7.50000e-01
Q13873	Q15797	14	7.50000e-01
Q8NER5	P84022	15	7.50000e-01
Q8NER5	Q15796	16	7.50000e-01
P27037	P84022	17	6.33718e-01
P27037	Q15796	18	6.33718e-01
Q13705	P84022	19	6.33718e-01
Q13873	Q99717	20	6.33718e-01
O00144	P35222	21	5.62500e-01
P35222	P01106	21	5.62500e-01
O00144	O14640	22	5.62500e-01
O14640	P84022	22	5.62500e-01
O14640	Q13485	23	5.62500e-01
O14640	Q15796	24	5.62500e-01
O14640	Q15797	25	5.62500e-01
P35222	P15923	26	5.62500e-01
P35222	P36402	27	5.62500e-01
P35222	P84022	28	5.62500e-01
P35222	Q13485	29	5.62500e-01
P35222	Q15796	30	5.62500e-01
O75084	P35222	31	5.62500e-01
O75084	O14640	32	5.62500e-01
P08069	P03372	41	5.62500e-01
P03372	P01106	41	5.62500e-01
P03372	P40763	42	5.62500e-01
P03372	P84022	43	5.62500e-01
P03372	Q13485	44	5.62500e-01
P03372	Q15796	45	5.62500e-01
P08069	P22681	46	5.62500e-01
P22681	P01106	46	5.62500e-01
P22681	P40763	47	5.62500e-01
P08069	P27361	48	5.62500e-01
P27361	O15119	48	5.62500e-01
P27361	P01106	49	5.62500e-01
P27361	P15923	50	5.62500e-01
P27361	P40763	51	5.62500e-01
P27361	P84022	52	5.62500e-01
P27361	Q13485	53	5.62500e-01
P27361	Q15796	54	5.62500e-01
P27361	Q15797	55	5.62500e-01
P27361	Q99717	56	5.62500e-01
P08069	P28482	57	5.62500e-01
P28482	P01106	57	5.62500e-01
P28482	P15923	58	5.62500e-01
P28482	P40763	59	5.62500e-01
P28482	P84022	60	5.62500e-01
P28482	Q13485	61	5.62500e-01
P28482	Q15796	62	5.62500e-01
P28482	Q15797	63	5.62500e-01
P28482	Q99717	64	5.62500e-01
P08069	P31946	65	5.62500e-01
P31946	P01106	65	5.62500e-01
P08069	P35222	66	5.62500e-01
P08069	O00329	67	5.62500e-01
O00329	P40763	67	5.62500e-01
P08069	O00459	68	5.62500e-01
O00459	P40763	68	5.62500e-01
P08069	O14508	69	5.62500e-01
O14508	P40763	69	5.62500e-01
P08069	O14543	70	5.62500e-01
O14543	P40763	70	5.62500e-01
P08069	P16473	71	5.62500e-01
P16473	P40763	71	5.62500e-01
P08069	P18031	72	5.62500e-01
P18031	P40763	72	5.62500e-01
P08069	P27986	73	5.62500e-01
P27986	P40763	73	5.62500e-01
P40763	P01106	79	5.62500e-01
P08069	P42336	80	5.62500e-01
P42336	P40763	80	5.62500e-01
P08069	P42338	81	5.62500e-01
P42338	P40763	81	5.62500e-01
P08069	P48357	82	5.62500e-01
P48357	P40763	82	5.62500e-01
P08069	P48736	83	5.62500e-01
P48736	P40763	83	5.62500e-01
P08069	P62258	84	5.62500e-01
P62258	P01106	84	5.62500e-01
P08069	P63244	85	5.62500e-01
P63244	P40763	85	5.62500e-01
P08069	O15530	86	5.62500e-01
O15530	P84022	86	5.62500e-01
O15530	Q13485	87	5.62500e-01
O15530	Q15796	88	5.62500e-01
P08069	P35568	89	5.62500e-01
P35568	P84022	89	5.62500e-01
P08069	P46108	90	5.62500e-01
P46108	P84022	90	5.62500e-01
P08069	Q02750	91	5.62500e-01
Q02750	P01106	91	5.62500e-01
P08069	Q05397	92	5.62500e-01
Q05397	P40763	92	5.62500e-01
P08069	Q06124	93	5.62500e-01
Q06124	P40763	93	5.62500e-01
P08069	Q92569	94	5.62500e-01
Q92569	P40763	94	5.62500e-01
P08069	Q9UJU2	95	5.62500e-01
