#id	component_ids	mapped_names	kegg_names
336	139|140	Q13158|Q15628	hsa:8717|hsa:8772
337	177|293	Q08334|Q13651	hsa:3587|hsa:3588
338	264|265	P30273|Q9ULY5	hsa:2207|hsa:26253
339	254|258	P12931|Q9BXN2	hsa:64581|hsa:6714
340	259|260|261	O95999|Q9H257|Q9UDY8	hsa:10892|hsa:64170|hsa:8915
341	101|121	O60603	hsa:10333 hsa:7096|hsa:7097
342	118|185	P58753|Q99836	hsa:114609|hsa:4615
343	194|195	P61586|Q9NZN5	hsa:23365|hsa:387
344	197|198|199	P33241|Q8IVT5|Q9H4B4	hsa:1263|hsa:4046|hsa:8844
345	200|201	P05107|P20702	hsa:3687|hsa:3689
346	79|80	P05107|P11215	hsa:3684|hsa:3689
347	52|53	Q8NEB9	hsa:5289|hsa:5868 hsa:5869 hsa:5878
348	58|68	Q15075	hsa:5868 hsa:5869 hsa:5878|hsa:8411
349	145|146|148	O14727|P55211|P99999	hsa:317|hsa:54205|hsa:842
