#id	mapped_name	kegg_name
15	O14756|P14061|P37059|P56937|Q53GQ0|Q92506	hsa:3292|hsa:3294|hsa:51144|hsa:51478|hsa:7923|hsa:8630
188	P08842	hsa:412
189	O00204	hsa:6820
190	P05108	hsa:1583
191	P05108	hsa:1583
192	P05108	hsa:1583
193	P05108	hsa:1583
194	P05108	hsa:1583
195	P05108	hsa:1583
197	P05093	hsa:1586
198	P08686	hsa:1589
200	P14060|P26439	hsa:3283|hsa:3284
201	O75881	hsa:9420
202	P08842	hsa:412
203	O00204	hsa:6820
205	P14060|P26439	hsa:3283|hsa:3284
207	P14060|P26439	hsa:3283|hsa:3284
209	P14060|P26439	hsa:3283|hsa:3284
211	P14060|P26439	hsa:3283|hsa:3284
212	P15538|P19099	hsa:1584|hsa:1585
213	P05093	hsa:1586
214	O00204	hsa:6820
215	P08842	hsa:412
216	P04798|P05177|P20815|P24462	hsa:100861540|hsa:1543|hsa:1544|hsa:1551|hsa:1577
217	P42330	hsa:8644
219	P14060|P26439	hsa:3283|hsa:3284
221	P14060|P26439	hsa:3283|hsa:3284
222	P08686	hsa:1589
225	P05093	hsa:1586
226	P18405|P31213|Q9H8P0	hsa:6715|hsa:6716|hsa:79644
227	P42330|P52895	hsa:1646|hsa:8644
228	P19099	hsa:1585
229	P51857	hsa:6718
230	P17516	hsa:1109
231	P15538|P19099	hsa:1584|hsa:1585
232	P08686	hsa:1589
234	Q04828	hsa:1645
235	P28845|Q7Z5J1	hsa:3290|hsa:374875
236	P80365	hsa:3291
237	P17516	hsa:1109
238	P28845|Q7Z5J1	hsa:3290|hsa:374875
240	P15538|P19099	hsa:1584|hsa:1585
241	P08686	hsa:1589
242	P51857	hsa:6718
244	P18405|P31213|Q9H8P0	hsa:6715|hsa:6716|hsa:79644
245	P17516	hsa:1109
247	P42330|P52895	hsa:1646|hsa:8644
248	Q04828	hsa:1645
249	Q04828	hsa:1645
250	P42330|P52895	hsa:1646|hsa:8644
251	P05093	hsa:1586
252	P15538|P19099	hsa:1584|hsa:1585
253	P08686	hsa:1589
254	P08686	hsa:1589
