#id	mapped_name	kegg_name
36	P07550|P08588|P13945	hsa:153|hsa:154|hsa:155
37	P25100|P35348|P35368	hsa:146|hsa:147|hsa:148
38	P20309	hsa:1131
39	Q8NFU1	hsa:54831
40	P55011	hsa:6558
41	O95467|P63092	hsa:2778
42	O43306|O60266|O60503|O95622|P40145|P51828|Q08462|Q08828|Q8NFM4	hsa:107|hsa:108|hsa:109|hsa:111|hsa:112|hsa:113|hsa:114|hsa:115|hsa:196883
47	P17612|P22612|P22694	hsa:5566|hsa:5567|hsa:5568
48	P63027	hsa:6844
51	P50148	hsa:2776
52	Q00722|Q01970|Q15147|Q9NQ66	hsa:23236|hsa:5330|hsa:5331|hsa:5332
53	Q14571|Q14573|Q14643	hsa:3708|hsa:3709|hsa:3710
61	P20020|P23634|Q01814|Q16720	hsa:490|hsa:491|hsa:492|hsa:493
65	P05129|P05771|P17252	hsa:5578|hsa:5579|hsa:5582
67	P55064	hsa:362
72	Q15413	hsa:6263
73	P0DP23|P0DP24|P0DP25|P27482|Q8TD86|Q96GE6|Q9NZT1	hsa:163688|hsa:51806|hsa:801|hsa:805|hsa:808|hsa:810|hsa:91860
74	P29475	hsa:4842
75	P33402|Q02108|Q02153	hsa:2977|hsa:2982|hsa:2983
76	Q13237|Q13976	hsa:5592|hsa:5593
77	P28907|Q10588	hsa:683|hsa:952
90	O15554	hsa:3783
103	Q9H1D0	hsa:55503
128	Q9HC84	hsa:727897
129	Q8TAX7	hsa:4589
130	Q12791	hsa:3778
146	P02810	hsa:5554|hsa:5555
147	P04280	hsa:5542|hsa:653247
148	P04745|P04746|P19961	hsa:276|hsa:277|hsa:278|hsa:279|hsa:280
149	P01034|P01036|P01037|P09228|P28325	hsa:1469|hsa:1470|hsa:1471|hsa:1472|hsa:1473
150	P15515|P15516	hsa:3346|hsa:3347
151	Q9UGM3	hsa:1755
152	P02808	hsa:6779
161	P05023|P05026|P13637|P14415|P50993|P54709|P54710|Q13733|Q9UN42	hsa:23439|hsa:476|hsa:477|hsa:478|hsa:480|hsa:481|hsa:482|hsa:483|hsa:486
164	P55064	hsa:362
166	P04920	hsa:6522
167	P19634	hsa:6548
178	P61626|Q6UWQ5	hsa:4069|hsa:84569
179	P22079	hsa:4025
180	P49913	hsa:820
