#id	component_ids	mapped_names	kegg_names
220	128|129	P05556|P56199	hsa:3672|hsa:3688
221	144|96	P05556|P17301	hsa:3673|hsa:3688
222	126|95	P05556|P26006	hsa:3675|hsa:3688
223	125|94	P05556|P13612	hsa:3676|hsa:3688
224	124|93	P05556|P08648	hsa:3678|hsa:3688
225	123|92	P05556|P23229	hsa:3655|hsa:3688
226	122|91	P05556|Q13683	hsa:3679|hsa:3688
227	121|90	P05556|P53708	hsa:3688|hsa:8516
228	134|213|214	Q6UXI9|Q86XX4	hsa:158326 hsa:341640|hsa:255743|hsa:80144
229	120|89	P05556|Q13797	hsa:3680|hsa:3688
230	119|88	O75578|P05556	hsa:3688|hsa:8515
231	118|87	P05556|Q9UKX5	hsa:22801|hsa:3688
232	117|86	P05556|P06756	hsa:3685|hsa:3688
233	102|116	P13612|P26010	hsa:3676|hsa:3695
234	101|115	P05106|P06756	hsa:3685|hsa:3690
235	114|85	P05106|P08514	hsa:3674|hsa:3690
236	100|113	P06756|P18084	hsa:3685|hsa:3693
237	112|99	P06756|P18564	hsa:3685|hsa:3694
238	111|98	P06756|P26012	hsa:3685|hsa:3696
239	110|97	P16144|P23229	hsa:3655|hsa:3691
240	47|48|49|50	P07359|P13224|P14770|P40197	hsa:2811|hsa:2812|hsa:2814|hsa:2815
241	105|44	Q14118	hsa:1605|hsa:1605
