#id	component_ids	mapped_names	kegg_names
370	184|193	P51617|Q9NWZ3	hsa:3654|hsa:51135
371	182|187|188	O43318|Q15750|Q9NYJ8	hsa:10454|hsa:23118|hsa:6885
372	105|106|107	O00463|Q13546|Q15628	hsa:7188|hsa:8717|hsa:8737
373	105|106|107|108	O00463|Q12933|Q13546|Q15628	hsa:7186|hsa:7188|hsa:8717|hsa:8737
374	23|39	Q13158|Q15628	hsa:8717|hsa:8772
375	309|310|311	Q16531|Q9Y4B6	hsa:1642|hsa:8450 hsa:8451|hsa:9730
376	73|74	O15533	hsa:6890 hsa:6891|hsa:6892
377	111|112	P27797|P30101	hsa:2923|hsa:811
378	315|316|317|318	Q15369|Q15370|Q93034|Q9UBF6	hsa:6921|hsa:6923|hsa:8065|hsa:9616
