#id	mapped_name	kegg_name
49	P32238	hsa:886
50	P20309	hsa:1131
51	P55011	hsa:6558
52	P50148	hsa:2776
53	Q00722|Q01970|Q15147|Q9NQ66	hsa:23236|hsa:5330|hsa:5331|hsa:5332
54	Q14571|Q14573|Q14643	hsa:3708|hsa:3709|hsa:3710
62	P20020|P23634|Q01814|Q16720	hsa:490|hsa:491|hsa:492|hsa:493
66	P05129|P05771|P17252	hsa:5578|hsa:5579|hsa:5582
71	P51787	hsa:3784
84	Q12791	hsa:3778
93	P05023|P05026|P13637|P14415|P50993|P54709|P54710|Q13733|Q9UN42	hsa:23439|hsa:476|hsa:477|hsa:478|hsa:480|hsa:481|hsa:482|hsa:483|hsa:486
96	P19634	hsa:6548
107	P40879	hsa:1811
108	P05023|P05026|P13637|P14415|P50993|P54709|P54710|Q13733|Q9UN42	hsa:23439|hsa:476|hsa:477|hsa:478|hsa:480|hsa:481|hsa:482|hsa:483|hsa:486
109	Q12791	hsa:3778
114	P13569	hsa:1080
115	P47872	hsa:6344
116	P19634	hsa:6548
117	P04920	hsa:6522
126	A8K7I4|Q14CN2|Q9UQC9	hsa:1179|hsa:22802|hsa:9635
134	P00918	hsa:760
142	Q92736	hsa:6262
143	Q8NHX9	hsa:219931
156	P04745|P04746|P19961	hsa:276|hsa:277|hsa:278|hsa:279|hsa:280
166	Q9Y6R1	hsa:8671
171	P07477|P07478|P35030	hsa:5644|hsa:5645|hsa:5646
172	P15085|P15088|P48052	hsa:1357|hsa:1358|hsa:1359
173	P15086|Q96IY4	hsa:1360|hsa:1361
174	P08217|P08218|P08861|P09093	hsa:10136|hsa:23436|hsa:51032|hsa:63036
175	P54315	hsa:5407
176	P54317	hsa:5408
178	O15496|P04054|P14555|P39877|Q9BX93|Q9BZM1|Q9BZM2|Q9NZ20|Q9NZK7|Q9UNK4	hsa:26279|hsa:30814|hsa:391013|hsa:50487|hsa:5319|hsa:5320|hsa:5322|hsa:64600|hsa:81579|hsa:8399|hsa:84647
179	P16233	hsa:5406
185	O14983|P16615|Q93084	hsa:487|hsa:488|hsa:489
187	P48995	hsa:7220
189	P17538|Q6GPI1	hsa:1504|hsa:440387
190	P28907|Q10588	hsa:683|hsa:952
192	O95467|P63092	hsa:2778
193	O43306|O60266|O60503|O95622|P40145|P51828|Q08462|Q08828|Q8NFM4	hsa:107|hsa:108|hsa:109|hsa:111|hsa:112|hsa:113|hsa:114|hsa:115|hsa:196883
196	P40313	hsa:1506
197	O00194|O95716|P61006|P62491	hsa:4218|hsa:5874|hsa:8766|hsa:9545
198	P61224|P62834	hsa:5906|hsa:5908
199	P61586	hsa:387
200	P63000	hsa:5879
205	P09683	hsa:6343
209	P06307	hsa:885
