#id	mapped_name	kegg_name
14	P30273	hsa:2207
15	Q01362	hsa:2206
16	P12319	hsa:2205
26	Q01362	hsa:2206
27	P12319	hsa:2205
28	P06241	hsa:2534
29	P01375	hsa:7124
32	P35225	hsa:3596
33	P05112	hsa:3565
34	P31749|P31751|Q9Y243	hsa:10000|hsa:207|hsa:208
35	P04141	hsa:1437
36	O15264|P53778|Q15759|Q16539	hsa:1432|hsa:5600|hsa:5603|hsa:6300
37	O14733|P45985	hsa:5609|hsa:6416
38	P46734|P52564	hsa:5606|hsa:5608
39	O15530	hsa:5170
40	O00329|O00459|P27986|P42336|P42338|Q92569	hsa:5290|hsa:5291|hsa:5293|hsa:5295|hsa:5296|hsa:8503
41	P17252	hsa:5578
42	Q9UQC2	hsa:9846
43	Q13094	hsa:3937
44	Q06187	hsa:695
45	P43405	hsa:6850
46	P07948	hsa:4067
47	O43561	hsa:27040
48	P16885|P19174	hsa:5335|hsa:5336
49	Q92835	hsa:3635
50	P30273	hsa:2207
51	P27361|P28482	hsa:5594|hsa:5595
52	P36507|Q02750	hsa:5604|hsa:5605
53	P04049	hsa:5894
54	P01111|P01112|P01116	hsa:3265|hsa:3845|hsa:4893
55	Q07889|Q07890	hsa:6654|hsa:6655
56	P62993	hsa:2885
57	P0C869|P47712|Q3MJ16|Q68DD2|Q86XP0|Q9UP65	hsa:100137049|hsa:123745|hsa:255189|hsa:283748|hsa:5321|hsa:8605|hsa:8681
58	P45983|P45984|P53779	hsa:5599|hsa:5601|hsa:5602
59	P15153|P60763|P63000	hsa:5879|hsa:5880|hsa:5881
60	P15498|P52735|Q9UKW4	hsa:10451|hsa:7409|hsa:7410
61	P05113	hsa:3567
62	P08700	hsa:3562
131	P09917	hsa:240
132	P20292	hsa:241
