#id	component_ids	mapped_names	kegg_names
323	23|43	P43146	hsa:1630|hsa:1630
324	291|53	P43146	hsa:137970 hsa:219699 hsa:8633 hsa:90249|hsa:1630
325	271|273	O43639	hsa:10298 hsa:106821730 hsa:5058 hsa:5062 hsa:5063 hsa:56924 hsa:57144|hsa:8440
326	172|177	P18075|Q7Z4P5	hsa:151449|hsa:655
327	173|174	O00238|Q13873	hsa:658|hsa:659
328	204|206	Q16555|Q9BPU6	hsa:1808|hsa:56896
329	244|5|6	Q05513|Q8TEW0	hsa:50855 hsa:84552 hsa:84612|hsa:5590|hsa:56288
330	244|5	Q05513	hsa:50855 hsa:84552 hsa:84612|hsa:5590
