#id	mapped_name	kegg_name
16	O00744|O00755|O14904|O14905|O96014|P04628|P09544|P41221|P56703|P56704|P56705|P56706|Q93097|Q93098|Q9GZT5|Q9H1J5|Q9H1J7|Q9UBV4|Q9Y6F9	hsa:51384|hsa:54361|hsa:7471|hsa:7472|hsa:7473|hsa:7474|hsa:7475|hsa:7476|hsa:7477|hsa:7478|hsa:7479|hsa:7480|hsa:7481|hsa:7482|hsa:7483|hsa:7484|hsa:80326|hsa:81029|hsa:89780
17	O95996|P25054	hsa:10297|hsa:324
18	O15169|Q9Y2T1	hsa:8312|hsa:8313
19	O14640|O14641|Q92997	hsa:1855|hsa:1856|hsa:1857
20	O00144|O60353|O75084|Q13467|Q14332|Q9H461|Q9NPG1|Q9ULV1|Q9ULW2|Q9UP38	hsa:11211|hsa:2535|hsa:7855|hsa:7976|hsa:8321|hsa:8322|hsa:8323|hsa:8324|hsa:8325|hsa:8326
22	P35222	hsa:1499
23	P49841	hsa:2932
24	P36402	hsa:6932
38	P15018	hsa:3976
39	P40189|P42702	hsa:3572|hsa:3977
40	O60674|P23458|P52333	hsa:3716|hsa:3717|hsa:3718
41	P40763	hsa:6774
42	O43474	hsa:9314
43	O00329|O00459|P27986|P42336|P42338|Q92569	hsa:5290|hsa:5291|hsa:5293|hsa:5295|hsa:5296|hsa:8503
44	P31749|P31751|Q9Y243	hsa:10000|hsa:207|hsa:208
45	O15119	hsa:6926
46	P62993	hsa:2885
47	P08476|P09529|P55103|P58166	hsa:3624|hsa:3625|hsa:3626|hsa:83729
48	P27037|P36896|Q13705|Q8NER5	hsa:130399|hsa:91|hsa:92|hsa:93
49	P84022|Q15796	hsa:4087|hsa:4088
50	P12644	hsa:652
51	O00238|P36894|Q04771|Q13873	hsa:657|hsa:658|hsa:659|hsa:90
52	P27361|P28482	hsa:5594|hsa:5595
61	Q9H9S0	hsa:388112|hsa:79923
62	Q01860|Q06416	hsa:5460|hsa:5462
63	P48431	hsa:6657
65	P12644	hsa:652
66	O00238|P36894|Q04771|Q13873	hsa:657|hsa:658|hsa:659|hsa:90
67	P01111|P01112|P01116	hsa:3265|hsa:3845|hsa:4893
68	P04049	hsa:5894
69	P36507|Q02750	hsa:5604|hsa:5605
70	P27361|P28482	hsa:5594|hsa:5595
71	O00329|O00459|P27986|P42336|P42338|Q92569	hsa:5290|hsa:5291|hsa:5293|hsa:5295|hsa:5296|hsa:8503
72	P31749|P31751|Q9Y243	hsa:10000|hsa:207|hsa:208
73	P09038	hsa:2247
74	P11362|P21802|P22455|P22607	hsa:2260|hsa:2261|hsa:2263|hsa:2264
75	P08476|P09529|P55103|P58166	hsa:3624|hsa:3625|hsa:3626|hsa:83729
76	P05019	hsa:3479
77	P08069	hsa:3480
78	O00744|O00755|O14904|O14905|O96014|P04628|P09544|P41221|P56703|P56704|P56705|P56706|Q93097|Q93098|Q9GZT5|Q9H1J5|Q9H1J7|Q9UBV4|Q9Y6F9	hsa:51384|hsa:54361|hsa:7471|hsa:7472|hsa:7473|hsa:7474|hsa:7475|hsa:7476|hsa:7477|hsa:7478|hsa:7479|hsa:7480|hsa:7481|hsa:7482|hsa:7483|hsa:7484|hsa:80326|hsa:81029|hsa:89780
79	O95996|P25054	hsa:10297|hsa:324
80	O15169|Q9Y2T1	hsa:8312|hsa:8313
81	O14640|O14641|Q92997	hsa:1855|hsa:1856|hsa:1857
82	O00144|O60353|O75084|Q13467|Q14332|Q9H461|Q9NPG1|Q9ULV1|Q9ULW2|Q9UP38	hsa:11211|hsa:2535|hsa:7855|hsa:7976|hsa:8321|hsa:8322|hsa:8323|hsa:8324|hsa:8325|hsa:8326
83	P35222	hsa:1499
84	P49841	hsa:2932
94	Q9H9S0	hsa:388112|hsa:79923
95	Q01860|Q06416	hsa:5460|hsa:5462
96	P48431	hsa:6657
106	O15198|Q15797|Q99717	hsa:4086|hsa:4090|hsa:4093
109	P36507|Q02750	hsa:5604|hsa:5605
126	O15264|P53778|Q15759|Q16539	hsa:1432|hsa:5600|hsa:5603|hsa:6300
136	P27037|P36896|Q13705|Q8NER5	hsa:130399|hsa:91|hsa:92|hsa:93
138	P84022|Q15796	hsa:4087|hsa:4088
139	Q13485	hsa:4089
143	Q13485	hsa:4089
145	P27361|P28482	hsa:5594|hsa:5595
161	P01106	hsa:4609
164	P01106	hsa:4609
165	O15198|Q15797|Q99717	hsa:4086|hsa:4090|hsa:4093
170	P41134|P47928|Q02363|Q02535	hsa:3397|hsa:3398|hsa:3399|hsa:3400
193	Q01860|Q06416	hsa:5460|hsa:5462
194	P48431	hsa:6657
195	Q9H9S0	hsa:388112|hsa:79923
196	P40763	hsa:6774
197	Q9UBX0	hsa:8820
198	O60481	hsa:7547
199	O95718	hsa:2103
200	P15923	hsa:6929
201	P09038	hsa:2247
202	O00292|O75610	hsa:10637|hsa:7044
203	P12757	hsa:6498
204	Q9H4L7	hsa:56916
205	Q92794	hsa:7994
206	Q15047	hsa:9869
207	Q92833	hsa:3720
208	Q13127	hsa:5978
209	Q5UIP0	hsa:55183
210	P26367	hsa:5080
211	O00470	hsa:4211
212	P14653|P49639|Q9GZZ0	hsa:3198|hsa:3211|hsa:3231
213	Q9H2C1	hsa:64211
214	P32242	hsa:5013
215	Q92886	hsa:4762
216	O96004	hsa:9421
217	P56178	hsa:1749
218	P13349	hsa:4617
219	Q9UBC0	hsa:3175
220	P61371	hsa:3670
221	Q15911	hsa:463
222	Q8N693	hsa:80712
234	P15923	hsa:6929
240	O95718	hsa:2103
246	Q99956	hsa:1852
305	P35226|P35227|Q3KNV8|Q86SE9|Q9BSM1|Q9BYE7	hsa:100532731|hsa:10336|hsa:648|hsa:7703|hsa:84108|hsa:84333|hsa:84759
309	Q13485	hsa:4089
311	Q96S42	hsa:4838
312	Q96S42	hsa:4838
