#id1	id2	type	subtype
183	96	PPrel	inhibition|phosphorylation
175	27	PPrel	activation
10	18	PPrel	binding/association
45	127	PPrel	activation
10	175	PPrel	binding/association
10	100	PPrel	binding/association
105	104	PPrel	activation
57	40	PPrel	activation
127	126	PPrel	binding/association
75	82	PPrel	activation|phosphorylation
40	41	PPrel	activation
102	105	PPrel	binding/association
41	22	PPrel	activation|phosphorylation
100	183	PPrel	activation|indirect effect
91	25	PPrel	activation
52	54	PPrel	activation|phosphorylation
22	24	PPrel	activation|phosphorylation
20	37	PPrel	activation|indirect effect
24	101	PPrel	activation|phosphorylation
57	173	PPrel	activation
116	114	PPrel	binding/association
37	101	PPrel	activation|phosphorylation
57	52	PPrel	activation
19	20	PPrel	indirect effect|phosphorylation
20	90	PPrel	activation|phosphorylation
210	17	PPrel	activation
201	52	PPrel	activation
20	91	PPrel	activation|phosphorylation
201	90	PPrel	activation
20	78	PPrel	activation|phosphorylation
160	161	PPrel	activation|phosphorylation
101	138	PPrel	activation
24	173	PPrel	activation
18	19	PPrel	activation
18	57	PPrel	activation
18	69	PPrel	inhibition
205	10	PPrel	activation
17	118	PPrel	inhibition
175	11	PPrel	activation
175	40	PPrel	activation
