#id1	id2	type	subtype
21	31	PPrel	binding/association
9	15	PPrel	activation
21	40	PPrel	binding/association
9	16	PPrel	activation
40	49	PPrel	activation|phosphorylation
9	55	PPrel	activation
49	60	PPrel	activation|phosphorylation
60	39	PPrel	dissociation
21	41	PPrel	binding/association
14	10	PPrel	binding/association
10	9	PPrel	binding/association
22	31	PPrel	binding/association
23	24	PPrel	binding/association
50	34	PPrel	activation
34	53	PPrel	activation|indirect effect
34	35	PPrel	binding/association
35	22	PPrel	activation
35	23	PPrel	activation
22	24	PPrel	binding/association
23	31	PPrel	binding/association
21	22	PPrel	activation
21	23	PPrel	activation
21	24	PPrel	binding/association
