#id	mapped_name	kegg_name
9	O15264|P53778|Q15759|Q16539	hsa:1432|hsa:5600|hsa:5603|hsa:6300
10	P19320	hsa:7412
11	P05362	hsa:3383
12	P01100|P05412	hsa:2353|hsa:3725
13	P31749|P31751|Q9Y243	hsa:10000|hsa:207|hsa:208
15	P45983|P45984|P53779	hsa:5599|hsa:5601|hsa:5602
16	O00329|O00459|P27986|P42336|P42338|Q92569	hsa:5290|hsa:5291|hsa:5293|hsa:5295|hsa:5296|hsa:8503
18	P13500	hsa:6347
23	Q14145	hsa:9817
24	Q16236	hsa:4780
25	Q13164	hsa:5598
26	Q02078|Q06413	hsa:4205|hsa:4208
27	Q9Y5W3	hsa:10365
28	Q16236	hsa:4780
29	P15559	hsa:1728
30	O14733|P45985	hsa:5609|hsa:6416
39	P45985|P52564	hsa:5608|hsa:6416
49	Q14145	hsa:9817
50	Q16236	hsa:4780
54	Q9Y5S8	hsa:27035
55	P13498	hsa:1535
56	P14598	hsa:653361
57	P19878	hsa:4688
58	P15153|P60763|P63000	hsa:5879|hsa:5880|hsa:5881
59	P12644	hsa:652
60	O00238|P27037|P36894|Q04771|Q13705|Q13873	hsa:657|hsa:658|hsa:659|hsa:90|hsa:92|hsa:93
63	P12644	hsa:652
65	Q05513	hsa:5590
66	Q13163	hsa:5607
68	P33151	hsa:1003
69	P16284	hsa:5175
70	P35968	hsa:3791
71	P09601	hsa:3162
72	O14880|O15217|P08263|P09210|P09211|P09488|P0CG29|P0CG30|P10620|P21266|P28161|P30711|P46439|P78417|Q03013|Q16772|Q7RTV2|Q99735|Q9H4Y5	hsa:119391|hsa:221357|hsa:2938|hsa:2939|hsa:2940|hsa:2941|hsa:2944|hsa:2946|hsa:2947|hsa:2948|hsa:2949|hsa:2950|hsa:2952|hsa:2953|hsa:4257|hsa:4258|hsa:4259|hsa:653689|hsa:9446
73	P10599|Q99757	hsa:25828|hsa:7295
74	Q13501	hsa:8878
75	P29474	hsa:4846
76	P23582	hsa:4880
77	P00966	hsa:445
78	P29474	hsa:4846
79	P07204	hsa:7056
80	P00750	hsa:5327
81	P29474	hsa:4846
82	P35222	hsa:1499
86	P08253|P14780	hsa:4313|hsa:4318
87	P07711	hsa:1514
88	P16581	hsa:6401
89	P01375	hsa:7124
90	P01583|P01584	hsa:3552|hsa:3553
91	P01579	hsa:3458
92	P01127|P04085	hsa:5154|hsa:5155
93	P05305	hsa:1906
94	P15692	hsa:7422
95	P05106|P06756|P08514	hsa:3674|hsa:3685|hsa:3690
96	P12931	hsa:6714
97	Q05397	hsa:5747
98	P60709|P63261	hsa:60|hsa:71
99	P61586	hsa:387
106	P05362	hsa:3383
107	P19320	hsa:7412
108	P16581	hsa:6401
110	P29474	hsa:4846
112	P04637	hsa:7157
113	P55854|P61956|P63165|Q6EEV6	hsa:387082|hsa:6612|hsa:6613|hsa:7341
114	Q8N2W9	hsa:51588
117	Q05513	hsa:5590
118	Q8N2W9	hsa:51588
122	P04637	hsa:7157
123	P55854|P61956|P63165|Q6EEV6	hsa:387082|hsa:6612|hsa:6613|hsa:7341
125	P10415	hsa:596
134	P54646|Q13131	hsa:5562|hsa:5563
137	P29474	hsa:4846
139	Q99683	hsa:4217
140	P19438	hsa:7132
141	P14778|P27930	hsa:3554|hsa:7850
144	O43318	hsa:6885
145	O14920|O15111|Q9Y6K9	hsa:1147|hsa:3551|hsa:8517
146	P19838|Q04206	hsa:4790|hsa:5970
155	P51636|P56539|Q03135	hsa:857|hsa:858|hsa:859
156	P0DP23|P0DP24|P0DP25|P27482|Q8TD86|Q96GE6|Q9NZT1	hsa:163688|hsa:51806|hsa:801|hsa:805|hsa:808|hsa:810|hsa:91860
157	P07900|P08238|P14625	hsa:3320|hsa:3326|hsa:7184
160	P18827|P31431|P34741|P35052	hsa:2817|hsa:6382|hsa:6383|hsa:6385
161	Q9HBA0	hsa:59341
177	P28562	hsa:1843
178	Q16236	hsa:4780
191	Q9Y5W3	hsa:10365
211	Q92974	hsa:9181
213	P33151	hsa:1003
214	P16284	hsa:5175
215	P35968	hsa:3791
216	P05106|P06756	hsa:3685|hsa:3690
226	Q13164	hsa:5598
