#id	mapped_name	kegg_name
77	Q13740	hsa:214
78	P30203	hsa:923
79	P16150	hsa:6693
80	Q9BZZ2	hsa:6614
81	P08575	hsa:5788
82	P20273	hsa:933
83	P01732|P10966	hsa:925|hsa:926|hsa:927
84	P05556	hsa:3688
85	P53708	hsa:8516
86	P05107	hsa:3689
87	P20701	hsa:3683
88	P25942	hsa:958
89	P25942	hsa:958
90	P25942	hsa:958
91	P25942	hsa:958
92	Q92859	hsa:4756
93	P55291	hsa:1013
94	P55291	hsa:1013
95	P55283	hsa:1002
96	P55283	hsa:1002
97	P22223	hsa:1001
98	P22223	hsa:1001
99	P05556	hsa:3688
100	P23229	hsa:3655
101	Q92692	hsa:5819
102	P12830	hsa:999
103	P12830	hsa:999
104	P12830	hsa:999
105	P12830	hsa:999
108	P13611	hsa:1462
109	P12830	hsa:999
110	P12830	hsa:999
111	P20916	hsa:4099
112	P20916	hsa:4099
113	O95297|P25189	hsa:4359|hsa:9019
114	O95297|P25189	hsa:4359|hsa:9019
115	Q9NQS3	hsa:25945
116	O94856	hsa:23114
117	O94856	hsa:23114
118	Q9UHC6	hsa:26047
119	P78357	hsa:8506
120	Q9UHC6	hsa:26047
121	P78357	hsa:8506
122	O94856	hsa:23114
123	O94856	hsa:23114
124	P28827	hsa:5797
125	P28827	hsa:5797
126	Q02246	hsa:6900
127	Q02246	hsa:6900
128	Q02246	hsa:6900
129	Q02246	hsa:6900
130	Q02246	hsa:6900
131	Q02246	hsa:6900
132	Q12860	hsa:1272
133	Q12860	hsa:1272
134	Q12860	hsa:1272
135	Q12860	hsa:1272
136	Q12860	hsa:1272
137	Q92823	hsa:4897
138	Q92823	hsa:4897
139	Q92823	hsa:4897
140	Q8N0W4|Q8N2Q7|Q8NFZ3|Q8NFZ4|Q9NZ94	hsa:22829|hsa:22871|hsa:54413|hsa:57502|hsa:57555
141	P58400|Q9HDB5|Q9P2S2	hsa:9369|hsa:9378|hsa:9379
142	P26012	hsa:3696
143	P06756	hsa:3685
144	O75056|P18827|P31431|P34741	hsa:6382|hsa:6383|hsa:6385|hsa:9672
145	O75056|P18827|P31431|P34741	hsa:6382|hsa:6383|hsa:6385|hsa:9672
146	P10586	hsa:5792
147	Q7Z3B1	hsa:257194
148	Q7Z3B1	hsa:257194
149	Q8N126	hsa:57863
150	Q8N126	hsa:57863
151	Q9BY67	hsa:23705
152	Q9BY67	hsa:23705
153	Q9BY67	hsa:23705
154	Q9BY67	hsa:23705
155	P19022	hsa:1000
156	P19022	hsa:1000
157	P19022	hsa:1000
158	P19022	hsa:1000
159	P19022	hsa:1000
160	P19022	hsa:1000
161	O15394|P13591	hsa:4684|hsa:4685
162	O15394|P13591	hsa:4684|hsa:4685
163	P32004	hsa:3897
164	P32004	hsa:3897
165	P32004	hsa:3897
166	P32004	hsa:3897
167	O15394|P13591	hsa:4684|hsa:4685
168	O15394|P13591	hsa:4684|hsa:4685
169	P19022	hsa:1000
170	P19022	hsa:1000
171	Q15223	hsa:5818
172	Q15223	hsa:5818
173	Q9NQS3	hsa:25945
174	Q9NQS3	hsa:25945
175	Q15223	hsa:5818
176	Q15223	hsa:5818
177	Q9NQS3	hsa:25945
178	Q9NQS3	hsa:25945
179	Q15223	hsa:5818
180	Q15223	hsa:5818
181	Q92692	hsa:5819
182	P15151	hsa:5817
183	Q15762	hsa:10666
184	P16581	hsa:6401
185	Q92896	hsa:2734
186	P16109	hsa:6403
187	Q14242	hsa:6404
188	P28906	hsa:947
190	P14151	hsa:6402
191	Q13477	hsa:8174
192	P19320	hsa:7412
193	P26010	hsa:3695
194	Q13797	hsa:3680
195	P05556	hsa:3688
196	P05556	hsa:3688
197	P13612	hsa:3676
198	P13612	hsa:3676
199	P14209|Q8TCZ2	hsa:4267|hsa:83692
200	P14209|Q8TCZ2	hsa:4267|hsa:83692
201	P16284	hsa:5175
202	P16284	hsa:5175
203	P19256	hsa:965
204	P06729	hsa:914
205	P32942	hsa:3385
206	P05362	hsa:3383
207	P13598	hsa:3384
208	P57087	hsa:58494
209	Q9BX67	hsa:83700
210	Q9BX67	hsa:83700
211	P05107	hsa:3689
212	P11215	hsa:3684
213	P05107	hsa:3689
214	P20701	hsa:3683
215	Q9Y624	hsa:50848
216	Q9Y624	hsa:50848
217	P16284	hsa:5175
218	P29965	hsa:959
219	Q9Y624	hsa:50848
220	Q9Y624	hsa:50848
221	P13598	hsa:3384
222	P29965	hsa:959
223	P16109	hsa:6403
224	Q9BX67	hsa:83700
225	P05107	hsa:3689
226	P14209|Q8TCZ2	hsa:4267|hsa:83692
227	P16284	hsa:5175
228	P33151	hsa:1003
229	Q96AP7	hsa:90952
230	Q9BX67	hsa:83700
231	P57087	hsa:58494
232	Q9Y624	hsa:50848
233	P05107	hsa:3689
234	P20701	hsa:3683
235	P05362|P13598|P32942	hsa:3383|hsa:3384|hsa:3385
236	P05107	hsa:3689
237	P20701	hsa:3683
238	P05362|P13598|P32942	hsa:3383|hsa:3384|hsa:3385
239	Q9BQ51	hsa:80380
240	Q9NZQ7	hsa:29126
241	Q15116	hsa:5133
242	P29965	hsa:959
243	P01730	hsa:920
244	P01903|P01906|P01909|P01911|P01920|P04440|P06340|P13762|P13765|P20036|P28068|P79483|Q30154	hsa:3108|hsa:3109|hsa:3111|hsa:3112|hsa:3113|hsa:3115|hsa:3117|hsa:3118|hsa:3119|hsa:3122|hsa:3123|hsa:3125|hsa:3126|hsa:3127
245	P42081	hsa:942
246	P33681	hsa:941
247	P10747	hsa:940
248	P19256	hsa:965
249	P06729	hsa:914
250	P29965	hsa:959
