#id1	id2	type	subtype
48	45	PPrel	activation
86	87	PPrel	activation
160	71	PPrel	activation
159	71	PPrel	activation
69	71	PPrel	activation|phosphorylation
240	241	PPrel	activation
70	71	PPrel	activation|phosphorylation
163	71	PPrel	activation|phosphorylation
269	71	PPrel	activation|phosphorylation
197	198	PPrel	activation
269	268	PPrel	inhibition|phosphorylation
385	147	PPrel	activation
32	34	PPrel	activation
35	32	PPrel	activation
290	292	PPrel	activation
85	86	PPrel	activation
290	291	PPrel	activation
291	335	PPrel	activation
49	50	PPrel	activation
21	310	PPrel	activation
312	313	PPrel	activation
36	32	PPrel	activation
317	315	PPrel	activation
344	343	PPrel	activation
133	134	PPrel	activation
247	163	PPrel	activation
118	240	PPrel	activation
163	335	PPrel	activation|phosphorylation
163	336	PPrel	activation|phosphorylation
335	336	PPrel	activation|phosphorylation
336	337	PPrel	activation|phosphorylation
119	365	PPrel	activation
216	217	PPrel	activation|phosphorylation
198	235	PPrel	activation|phosphorylation
235	199	PPrel	activation|phosphorylation
50	51	PPrel	activation
313	317	PPrel	activation|phosphorylation
134	135	PPrel	activation|dephosphorylation
26	157	PPrel	binding/association
26	143	PPrel	binding/association
119	197	PPrel	binding/association
214	215	PPrel	binding/association
87	88	PPrel	activation
26	154	PPrel	inhibition
48	46	PPrel	activation
67	68	PPrel	activation
96	34	PPrel	activation
33	34	PPrel	activation
87	34	PPrel	activation
48	120	PPrel	indirect effect|inhibition
367	368	PPrel	activation
368	257	PPrel	inhibition|phosphorylation
71	260	PPrel	inhibition
71	261	PPrel	inhibition
191	40	PPrel	inhibition
186	15	PPrel	inhibition
271	269	PPrel	inhibition
328	317	PPrel	inhibition|phosphorylation
327	317	PPrel	inhibition|phosphorylation
48	119	PPrel	inhibition
48	118	PPrel	inhibition
326	317	PPrel	inhibition|phosphorylation
209	388	PPrel	inhibition|phosphorylation
283	276	PPrel	inhibition
