#id1	id2	type	subtype
10	11	PPrel	binding/association
4	13	PPrel	indirect effect
41	42	PPrel	activation
4	12	PPrel	indirect effect
41	37	PPrel	activation
6	4	PPrel	activation
35	33	PPrel	activation
5	4	PPrel	activation
35	32	PPrel	activation
36	8	PPrel	activation|phosphorylation
7	30	PPrel	activation|phosphorylation
30	29	PPrel	activation|phosphorylation
29	28	PPrel	activation|phosphorylation
23	22	PPrel	activation|phosphorylation
28	21	PPrel	activation|phosphorylation
12	45	PPrel	activation
28	27	PPrel	inhibition|phosphorylation
27	14	PPrel	inhibition|phosphorylation
22	14	PPrel	activation|dephosphorylation
21	20	PPrel	indirect effect
19	18	PPrel	indirect effect
20	19	PPrel	inhibition
25	7	PPrel	activation
9	26	PPrel	compound
31	9	PPrel	inhibition
16	17	PPrel	activation|phosphorylation
13	16	PPrel	compound
