#id	component_ids	mapped_names	kegg_names
379	252|253	P01308|P08069	hsa:3480|hsa:3630
380	270|271	P49815|Q92574	hsa:7248|hsa:7249
381	273|274|275|276|277	P42345|Q8N122|Q8TB45|Q96B36|Q9BVC4	hsa:2475|hsa:57521|hsa:64223|hsa:64798|hsa:84335
383	303|304	P10415|Q07817	hsa:596|hsa:598
384	344|348	O95721|P56962	hsa:55014|hsa:9342
385	327|330	O94817|Q9H1Y0	hsa:9140|hsa:9474
386	329|331|346	O94817|Q9H1Y0	hsa:55054 hsa:89849|hsa:9140|hsa:9474
387	353|363|364	Q8TEV9|Q96LT7|Q9HAD4	hsa:140775|hsa:203228|hsa:55255
388	377|378	Q92844|Q9UHD2	hsa:10010|hsa:29110
