#id	component_ids	mapped_names	kegg_names
939	745|747|749	O00471|Q96KP1|Q9UPT5	hsa:10640|hsa:23265|hsa:55770
940	753|754	P07355|P60903	hsa:302|hsa:6281
941	747|748|749	O00471|Q96A65|Q96KP1	hsa:10640|hsa:55770|hsa:60412
942	694|695	Q96NA2	hsa:338382 hsa:7879|hsa:83547
943	487|493	P19838|Q04206	hsa:4790|hsa:5970
944	444|447	O60603|Q9Y2C9	hsa:10333|hsa:7097
945	436|450	P58753|Q99836	hsa:114609|hsa:4615
946	445|449	O00206|Q9Y6Y9	hsa:23643|hsa:7099
947	427|435	P58753|Q99836	hsa:114609|hsa:4615
948	430|441	O43318	hsa:10454 hsa:23118 hsa:257397|hsa:6885
949	429|433|452	O14920|O15111|Q9Y6K9	hsa:1147|hsa:3551|hsa:8517
950	538|542	P63208|Q8NEZ5	hsa:26263|hsa:6500
951	793|794|795|796	Q12933|Q13546|Q15628	hsa:329 hsa:330|hsa:7186|hsa:8717|hsa:8737
952	499|500	P29466|Q9ULZ3	hsa:29108|hsa:834
953	601|602|603|604|605	Q8IZP0|Q8WUW1|Q9UPY6	hsa:10006|hsa:10787 hsa:3071|hsa:10810|hsa:23191 hsa:26999|hsa:55845
