#id	component_ids	mapped_names	kegg_names
276	123|124	P06493	hsa:85417 hsa:891 hsa:9133|hsa:983
277	126|127	P24941	hsa:1017|hsa:898 hsa:9134
279	86|87	P24941	hsa:1017|hsa:890 hsa:8900
280	64|67	P24941	hsa:1017|hsa:898 hsa:9134
281	12|221	Q8WWW0	hsa:23291 hsa:8945|hsa:83593
284	273|274|275	Q08752	hsa:291 hsa:292 hsa:293 hsa:83447|hsa:5481|hsa:7416 hsa:7417 hsa:7419
285	103|104|105	O60934|P49959|Q92878	hsa:10111|hsa:4361|hsa:4683
286	115|116|117	O60671|O60921	hsa:144715 hsa:5883|hsa:3364|hsa:5810
287	239|240	P24941	hsa:1017|hsa:898 hsa:9134
288	227|228	Q99706	hsa:3105 hsa:3106 hsa:3107 hsa:3133 hsa:3134 hsa:3135|hsa:3805
