#id1	id2	type	subtype
98	99	PPrel	activation|indirect effect
108	111	PPrel	activation|indirect effect
109	111	PPrel	activation|indirect effect
110	111	PPrel	activation|indirect effect
111	112	PPrel	activation|indirect effect
112	113	PPrel	activation|indirect effect
113	73	PPrel	activation|indirect effect
69	64	PPrel	inhibition
113	241	PPrel	activation|indirect effect
69	72	PPrel	inhibition
96	81	PPrel	inhibition
99	100	PPrel	activation
100	101	PPrel	activation|phosphorylation
101	102	PPrel	activation|phosphorylation
102	63	PPrel	activation|phosphorylation
235	234	PPrel	activation|indirect effect
