#id	mapped_name	kegg_name
9	O00221|P25963|Q15653	hsa:4792|hsa:4793|hsa:4794
10	P19838|Q04206	hsa:4790|hsa:5970
11	O14920	hsa:3551
12	Q9Y6K9	hsa:8517
13	O15111	hsa:1147
14	P49841	hsa:2932
15	Q9UDY8	hsa:10892
16	O95999	hsa:8915
17	Q9BXL7	hsa:84433
18	P31749|P31751|Q9Y243	hsa:10000|hsa:207|hsa:208
19	P05771	hsa:5579
20	P15498|P52735|Q9UKW4	hsa:10451|hsa:7409|hsa:7410
21	O00329|O00459|P27986|P42336|P42338|Q92569	hsa:5290|hsa:5291|hsa:5293|hsa:5295|hsa:5296|hsa:8503
22	P20023	hsa:1380
23	P15391	hsa:930
24	P60033	hsa:975
25	P13164	hsa:8519
26	O15357|Q92835	hsa:3635|hsa:3636
27	P31994	hsa:2213
28	P01100|P05412	hsa:2353|hsa:3725
29	P01111|P01112|P01116	hsa:3265|hsa:3845|hsa:4893
30	Q8IV61	hsa:25780
31	O95644|Q12968|Q13469	hsa:4772|hsa:4773|hsa:4775
32	P16298|P48454|P63098|Q08209|Q96LZ3	hsa:5530|hsa:5532|hsa:5533|hsa:5534|hsa:5535
33	P15153|P60763|P63000	hsa:5879|hsa:5880|hsa:5881
34	P15498|P52735|Q9UKW4	hsa:10451|hsa:7409|hsa:7410
35	P16885	hsa:5336
36	Q8WV28	hsa:29760
37	Q06187	hsa:695
38	P07948	hsa:4067
39	P40259	hsa:974
40	P11912	hsa:973
42	P43405	hsa:6850
43	P29350	hsa:5777
44	P21854	hsa:971
45	P20273	hsa:933
46	A6NI73|O75019|O75022|O75023|P59901|Q8N149|Q8N6C8|Q8NHJ6|Q8NHL6	hsa:102725035|hsa:10288|hsa:10859|hsa:10990|hsa:11006|hsa:11024|hsa:11025|hsa:11026|hsa:11027|hsa:23547|hsa:353514|hsa:79168
109	P36507|Q02750	hsa:5604|hsa:5605
110	P27361|P28482	hsa:5594|hsa:5595
111	P04049	hsa:5894
118	Q07889|Q07890	hsa:6654|hsa:6655
119	P62993	hsa:2885
123	Q6ZUJ8	hsa:118788
127	Q9UN19	hsa:27071
