#id	component_ids	mapped_names	kegg_names
379	144|145	O15533	hsa:6890 hsa:6891|hsa:6892
380	149|150	P27797|P30101	hsa:2923|hsa:811
381	287|288|365	O43318|Q9Y4K3	hsa:10454 hsa:23118|hsa:6885|hsa:7189
382	108|260	Q14164|Q9UHD2	hsa:29110|hsa:9641
383	277|278|280	P42224|P52630|Q00978	hsa:10379|hsa:6772|hsa:6773
384	252|253	Q06187|Q8WV28	hsa:29760|hsa:695
385	161|162|164|22|30	Q86X95|Q96ST3|Q9Y618	hsa:25942|hsa:3065 hsa:3066|hsa:79685 hsa:8819|hsa:9541|hsa:9612
386	222|44	Q12933|Q13546	hsa:7186|hsa:8737
388	195|196	P24941	hsa:1017|hsa:890 hsa:8900 hsa:898 hsa:9134
389	50|51|71	O43318|Q9Y4K3	hsa:10454 hsa:23118|hsa:6885|hsa:7189
390	225|229	P40763|P42224	hsa:6772|hsa:6774
