#id	mapped_name	kegg_name
7	P23443|Q9UBS0	hsa:6198|hsa:6199
8	P42345	hsa:2475
9	P31749|P31751|Q9Y243	hsa:10000|hsa:207|hsa:208
10	O00329|O00459|P27986|P42336|P42338|Q92569	hsa:5290|hsa:5291|hsa:5293|hsa:5295|hsa:5296|hsa:8503
15	P19838|Q04206	hsa:4790|hsa:5970
18	P01111|P01112|P01116	hsa:3265|hsa:3845|hsa:4893
20	P04049	hsa:5894
21	P36507|Q02750	hsa:5604|hsa:5605
22	P27361|P28482	hsa:5594|hsa:5595
23	Q13158	hsa:8772
24	Q14790	hsa:841
28	P25445	hsa:355
33	P01889|P04439|P10321|P13747|P17693|P30511	hsa:3105|hsa:3106|hsa:3107|hsa:3133|hsa:3134|hsa:3135
34	P01889|P04439|P10321|P13747|P17693|P30511	hsa:3105|hsa:3106|hsa:3107|hsa:3133|hsa:3134|hsa:3135
39	Q15628	hsa:8717
45	O14920|O15111|Q9Y6K9	hsa:1147|hsa:3551|hsa:8517
51	Q07812	hsa:581
52	Q16611	hsa:578
53	P99999	hsa:54205
54	P42574	hsa:836
55	P19438	hsa:7132
59	O14610|O14775|O60262|P16520|P50150|P50151|P59768|P61952|P62873|P62879|P63211|P63215|P63218|Q9HAV0|Q9P2W3|Q9UBI6|Q9UK08	hsa:10681|hsa:2782|hsa:2783|hsa:2784|hsa:2785|hsa:2786|hsa:2787|hsa:2788|hsa:2790|hsa:2791|hsa:2792|hsa:2793|hsa:51764|hsa:54331|hsa:55970|hsa:59345|hsa:94235
62	P55211	hsa:842
63	P55957	hsa:637
65	O95644|Q12968|Q13469|Q14934	hsa:4772|hsa:4773|hsa:4775|hsa:4776
66	P16298|P48454|P63098|Q08209|Q96LZ3	hsa:5530|hsa:5532|hsa:5533|hsa:5534|hsa:5535
70	P0DP23|P0DP24|P0DP25|P27482|Q8TD86|Q96GE6|Q9NZT1	hsa:163688|hsa:51806|hsa:801|hsa:805|hsa:808|hsa:810|hsa:91860
72	P29992|P50148	hsa:2767|hsa:2776
73	Q03518|Q03519	hsa:6890|hsa:6891
74	O15533	hsa:6892
78	P04899|P08754|P09471|P63096	hsa:2770|hsa:2771|hsa:2773|hsa:2775
81	P01375	hsa:7124
83	P61073	hsa:7852
84	Q05397	hsa:5747
85	P46108|P46109	hsa:1398|hsa:1399
86	P49023	hsa:5829
87	P05129|P05771|P17252	hsa:5578|hsa:5579|hsa:5582
88	Q14289	hsa:2185
105	Q13546	hsa:8737
106	Q15628	hsa:8717
107	O00463	hsa:7188
108	Q12933	hsa:7186
111	P30101	hsa:2923
112	P27797	hsa:811
115	P61769	hsa:567
117	Q14571|Q14573|Q14643	hsa:3708|hsa:3709|hsa:3710
119	P01574	hsa:3456
120	P01562|P01563|P01566|P01567|P01568|P01569|P01570|P01571|P05013|P05014|P05015|P32881	hsa:3439|hsa:3440|hsa:3441|hsa:3442|hsa:3443|hsa:3444|hsa:3445|hsa:3446|hsa:3447|hsa:3448|hsa:3449|hsa:3451|hsa:3452
121	Q9UHD2	hsa:29110
122	Q14653	hsa:3661
127	Q8N884	hsa:115004
128	Q86WV6	hsa:340061
144	P01730	hsa:920
145	P51681	hsa:1234
180	Q99836	hsa:4615
181	P27361|P28482	hsa:5594|hsa:5595
182	O43318	hsa:6885
183	O15264|P53778|Q15759|Q16539	hsa:1432|hsa:5600|hsa:5603|hsa:6300
184	P51617	hsa:3654
185	P45983|P45984|P53779	hsa:5599|hsa:5601|hsa:5602
186	Q9Y4K3	hsa:7189
187	Q15750	hsa:10454
188	Q9NYJ8	hsa:23118
189	P25963	hsa:4792
190	P01375	hsa:7124
191	O60603	hsa:7097
192	O00206	hsa:7099
193	Q9NWZ3	hsa:51135
201	P19838|Q04206	hsa:4790|hsa:5970
202	P01100|P05412	hsa:2353|hsa:3725
218	P25445	hsa:355
219	P48023	hsa:356
222	P06493	hsa:983
223	Q13315|Q13535	hsa:472|hsa:545
224	O14757	hsa:1111
225	P30307	hsa:995
226	O95067|P14635|Q8WWL7	hsa:85417|hsa:891|hsa:9133
235	Q92934	hsa:572
239	P01100|P05412	hsa:2353|hsa:3725
241	P16885|P19174	hsa:5335|hsa:5336
244	P23528|Q9Y281	hsa:1072|hsa:1073
245	P53667|P53671	hsa:3984|hsa:3985
246	O75914|O96013|Q13153|Q13177|Q9NQU5|Q9P286	hsa:10298|hsa:106821730|hsa:5058|hsa:5062|hsa:5063|hsa:56924|hsa:57144
247	P15153|P60763|P63000	hsa:5879|hsa:5880|hsa:5881
255	P01574	hsa:3456
256	P01562|P01563|P01566|P01567|P01568|P01569|P01570|P01571|P05013|P05014|P05015|P32881	hsa:3439|hsa:3440|hsa:3441|hsa:3442|hsa:3443|hsa:3444|hsa:3445|hsa:3446|hsa:3447|hsa:3448|hsa:3449|hsa:3451|hsa:3452
257	P01375	hsa:7124
259	P31941|Q6NTF7|Q8IUX4|Q9HC16|Q9NRW3|Q9UH17	hsa:100913187|hsa:140564|hsa:164668|hsa:200315|hsa:200316|hsa:27350|hsa:60489|hsa:9582
260	Q9Y3Z3	hsa:25939
261	Q9C035	hsa:85363
262	Q10589	hsa:684
265	O15264|P53778|Q15759|Q16539	hsa:1432|hsa:5600|hsa:5603|hsa:6300
266	P45983|P45984|P53779	hsa:5599|hsa:5601|hsa:5602
267	P01100|P05412	hsa:2353|hsa:3725
276	P46734|P52564	hsa:5606|hsa:5608
277	O14733	hsa:5609
284	P48023	hsa:356
285	P25445	hsa:355
288	P04234|P07766|P09693|P20963	hsa:915|hsa:916|hsa:917|hsa:919
291	P10415	hsa:596
292	Q07817	hsa:598
304	P0C1S8|P30291	hsa:494551|hsa:7465
309	Q13619|Q13620	hsa:8450|hsa:8451
310	Q16531	hsa:1642
311	Q9Y4B6	hsa:9730
315	Q15370	hsa:6923
316	Q93034	hsa:8065
317	Q15369	hsa:6921
318	Q9UBF6	hsa:9616
320	P31941|Q6NTF7|Q8IUX4|Q9HC16|Q9NRW3|Q9UH17	hsa:100913187|hsa:140564|hsa:164668|hsa:200315|hsa:200316|hsa:27350|hsa:60489|hsa:9582
325	P01889|P04439|P10321|P13747|P17693|P30511	hsa:3105|hsa:3106|hsa:3107|hsa:3133|hsa:3134|hsa:3135
327	O43747|O75843|P56377|P61966|Q10567|Q96PC3|Q9BXS5|Q9Y6Q5	hsa:10053|hsa:1174|hsa:130340|hsa:162|hsa:164|hsa:8905|hsa:8906|hsa:8907
341	P20333	hsa:7133
342	P01375	hsa:7124
346	Q07817	hsa:598
348	P01730	hsa:920
351	P62877|P63208|Q13616|Q9UKB1|Q9Y297	hsa:23291|hsa:6500|hsa:8454|hsa:8945|hsa:9978
355	Q92934	hsa:572
364	O14920|O15111|Q9Y6K9	hsa:1147|hsa:3551|hsa:8517
366	P25963	hsa:4792
369	P19838|Q04206	hsa:4790|hsa:5970
