#id	component_ids	mapped_names	kegg_names
407	180|181	Q14164|Q9UHD2	hsa:29110|hsa:9641
408	62|63|65	Q05397	hsa:22801 hsa:3655 hsa:3672 hsa:3673 hsa:3674 hsa:3675 hsa:3676 hsa:3678 hsa:3679 hsa:3680 hsa:3685 hsa:8515 hsa:8516|hsa:3688 hsa:3690 hsa:3691 hsa:3693 hsa:3694 hsa:3695 hsa:3696|hsa:5747
409	215|216	P17181|P48551	hsa:3454|hsa:3455
410	321|323|324	P49841	hsa:10297 hsa:324|hsa:2932|hsa:8312 hsa:8313
411	10|9	P49815|Q92574	hsa:7248|hsa:7249
413	52|70	P24941	hsa:1017|hsa:898 hsa:9134
414	359|360	Q14839	hsa:1108|hsa:3065 hsa:3066
415	220|230	P42224|P52630	hsa:6772|hsa:6773
416	204|205	P49768|Q12986	hsa:4799|hsa:5663
418	100|101|102|99	P60953|Q8TEW0	hsa:50855 hsa:84552 hsa:84612|hsa:5584 hsa:5590|hsa:56288|hsa:998
419	97|98	P60484|Q96QZ7	hsa:5728|hsa:9223
420	114|115|116	Q8N3R9|Q9BUF7	hsa:64398|hsa:92359
421	103|104|105	Q14160	hsa:1739 hsa:1740 hsa:1741|hsa:23513|hsa:3993 hsa:3996
