#id	component_ids	mapped_names	kegg_names
1181	462|463	O43318	hsa:10454 hsa:23118 hsa:257397|hsa:6885
1182	446|447|448	Q13546|Q15628	hsa:7186 hsa:7188|hsa:8717|hsa:8737
1183	445|480	Q9Y6K9	hsa:1147 hsa:3551|hsa:8517
1184	472|712	P19838|Q04206	hsa:4790|hsa:5970
1186	563|564|565	Q96EP0|Q9BYM8|Q9H0F6	hsa:10616|hsa:55072|hsa:81858
1189	498|499	O95999|Q9UDY8	hsa:10892|hsa:8915
1190	482|487	Q92974|Q9Y239	hsa:10392|hsa:9181
1191	747|748|749	O94817|Q676U5|Q9H1Y0	hsa:55054|hsa:9140|hsa:9474
1192	581|583	P29466|Q9ULZ3	hsa:29108|hsa:834
1193	1037|1038	P05556|P08648	hsa:3678|hsa:3688
1194	1064|989	P56945	hsa:1398 hsa:1399|hsa:9564
1195	988|992	Q14185	hsa:1793|hsa:63916 hsa:9844
1196	1036|1048	P18206	hsa:7094 hsa:83660|hsa:7414
1197	1098|1099	P04632	hsa:823 hsa:824|hsa:826
1198	1132|1134	P21796	hsa:3098 hsa:3099 hsa:3101 hsa:80201|hsa:7416
