#id	mapped_name	kegg_name
58	Q02338|Q9BUT1	hsa:56898|hsa:622
60	P55809|Q9BYC2	hsa:5019|hsa:64064
61	Q86V21	hsa:65985
62	P35914|Q8TB92	hsa:3155|hsa:54511
63	P54868|Q01581	hsa:3157|hsa:3158
64	P24752|Q9BWD1	hsa:38|hsa:39
66	Q08426|Q16836	hsa:1962|hsa:3033
71	P30084|P40939|Q08426	hsa:1892|hsa:1962|hsa:3030
75	P80404	hsa:18
76	Q05329|Q99259	hsa:2571|hsa:2572
79	P16219	hsa:35
84	P51649	hsa:7915
86	P0C7M7|Q08AH1|Q08AH3|Q53FZ2|Q68CK6|Q6NUN0|Q6P461	hsa:116285|hsa:123876|hsa:142827|hsa:341392|hsa:348158|hsa:54988|hsa:6296
108	Q9H9P8	hsa:79944
