#id	mapped_name	kegg_name
49	P13866	hsa:6523
50	P22732	hsa:6518
51	P11168	hsa:6514
52	P05023|P05026|P13637|P14415|P50993|P54709|P54710|Q13733|Q9UN42	hsa:23439|hsa:476|hsa:477|hsa:478|hsa:480|hsa:481|hsa:482|hsa:483|hsa:486
53	O43826	hsa:2542
66	P11168	hsa:6514
78	P09848	hsa:3938
79	P14410	hsa:6476
102	O43451|Q2M2H8	hsa:8972|hsa:93432
108	P04745|P04746|P19961	hsa:276|hsa:277|hsa:278|hsa:279|hsa:280
115	P11168	hsa:6514
119	Q01668	hsa:776
126	P11168	hsa:6514
132	P19367|P52789|P52790|Q2TB90	hsa:3098|hsa:3099|hsa:3101|hsa:80201
133	P35575|Q9BUM1|Q9NQR9	hsa:2538|hsa:57818|hsa:92579
135	O00329|O00459|P27986|P42336|P42338|Q92569	hsa:5290|hsa:5291|hsa:5293|hsa:5295|hsa:5296|hsa:8503
136	P31749|P31751|Q9Y243	hsa:10000|hsa:207|hsa:208
145	Q8TE23	hsa:80834
146	Q7RTX0	hsa:83756
147	A8MTJ3	hsa:346562
148	Q00722|Q01970|Q15147|Q9NQ66	hsa:23236|hsa:5330|hsa:5331|hsa:5332
149	P05771	hsa:5579
