#id	mapped_name	kegg_name
8	P04839|Q9NPH5|Q9Y5S8	hsa:1536|hsa:27035|hsa:50507
9	Q15109	hsa:177
16	P19838|Q04206	hsa:4790|hsa:5970
20	Q15109	hsa:177
22	P05771	hsa:5579
23	P45983|P45984|P53779	hsa:5599|hsa:5601|hsa:5602
26	P18146	hsa:1958
31	P01111|P01112|P01116	hsa:3265|hsa:3845|hsa:4893
32	O15264|P53778|Q15759|Q16539	hsa:1432|hsa:5600|hsa:5603|hsa:6300
34	P27361|P28482	hsa:5594|hsa:5595
38	P10600|P61812	hsa:7042|hsa:7043
39	P36897	hsa:7046
40	P37173	hsa:7048
43	P84022|Q15796	hsa:4087|hsa:4088
44	Q13485	hsa:4089
46	P05305	hsa:1906
47	P13726	hsa:2152
48	P07204	hsa:7056
49	P01583|P01584	hsa:3552|hsa:3553
50	P05231	hsa:3569
51	P01375	hsa:7124
52	P19320	hsa:7412
53	P05362	hsa:3383
54	P10145	hsa:3576
56	P05412	hsa:3725
59	O60674	hsa:3717
60	P42229|P51692	hsa:6776|hsa:6777
64	P24385	hsa:595
65	P11802	hsa:1019
69	P40763|P42224	hsa:6772|hsa:6774
74	P45983|P45984|P53779	hsa:5599|hsa:5601|hsa:5602
75	O15264|P53778|Q15759|Q16539	hsa:1432|hsa:5600|hsa:5603|hsa:6300
78	Q07812	hsa:581
79	P10415	hsa:596
85	P42574	hsa:836
86	P31749|P31751|Q9Y243	hsa:10000|hsa:207|hsa:208
88	O60610	hsa:1729
90	P02452|P02461|P02462|P08123|P08572|P29400|P53420|Q01955|Q14031	hsa:1277|hsa:1278|hsa:1281|hsa:1282|hsa:1284|hsa:1285|hsa:1286|hsa:1287|hsa:1288
92	P45983|P45984|P53779	hsa:5599|hsa:5601|hsa:5602
94	O00329|O00459|P27986|P42336|P42338|Q92569	hsa:5290|hsa:5291|hsa:5293|hsa:5295|hsa:5296|hsa:8503
96	P29474	hsa:4846
101	Q12778	hsa:2308
102	P60953|P63000	hsa:5879|hsa:998
103	P40763	hsa:6774
104	P11309	hsa:5292
105	O95644	hsa:4772
110	O43915|P15692|P49765|P49767	hsa:2277|hsa:7422|hsa:7423|hsa:7424
111	P13500	hsa:6347
113	P05121	hsa:5054
124	P08253	hsa:4313
127	Q15109	hsa:177
130	P16581	hsa:6401
133	P02452|P08123	hsa:1277|hsa:1278
147	P05771|P17252|Q02156|Q05513|Q05655	hsa:5578|hsa:5579|hsa:5580|hsa:5581|hsa:5590
150	P16885|P19174|P51178|Q00722|Q01970|Q15147|Q8N3E9|Q9BRC7|Q9NQ66|Q9P212	hsa:113026|hsa:23236|hsa:51196|hsa:5330|hsa:5331|hsa:5332|hsa:5333|hsa:5335|hsa:5336|hsa:84812
167	P01137	hsa:7040
168	P01137	hsa:7040
175	P30556	hsa:185
177	P04839|Q9NPH5|Q9Y5S8	hsa:1536|hsa:27035|hsa:50507
182	P46527	hsa:1027
183	P02751	hsa:2335
191	P01019	hsa:183
