#id	mapped_name	kegg_name
269	O95864	hsa:9415
271	Q9NYP7	hsa:60481
273	Q53GQ0	hsa:51144
275	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
277	Q9NZ01	hsa:9524
279	O60427	hsa:3992
280	Q9NXB9|Q9NYP7	hsa:54898|hsa:60481
282	Q53GQ0	hsa:51144
284	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
286	Q9NZ01	hsa:9524
288	Q9NXB9	hsa:54898
290	Q53GQ0	hsa:51144
292	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
294	Q9NZ01	hsa:9524
298	P09110|P22307	hsa:30|hsa:6342
299	P51659	hsa:3295
300	P51659	hsa:3295
301	O15254|Q15067	hsa:51|hsa:8310
303	O95864	hsa:9415
305	Q13085	hsa:31
309	O60488|O95573|P33121|Q5FVE4|Q96GR2|Q9UKU0|Q9ULC5	hsa:2180|hsa:2181|hsa:2182|hsa:23205|hsa:23305|hsa:51703|hsa:81616
311	P50416|Q8TCG5|Q92523	hsa:126129|hsa:1374|hsa:1375
312	O15254|P11310|P16219|P28330|P45954|Q15067	hsa:33|hsa:34|hsa:35|hsa:36|hsa:51|hsa:8310
313	O15254|P11310|P28330|Q15067	hsa:33|hsa:34|hsa:51|hsa:8310
314	O15254|P11310|P28330|Q15067	hsa:33|hsa:34|hsa:51|hsa:8310
315	O15254|P11310|P28330|Q15067	hsa:33|hsa:34|hsa:51|hsa:8310
316	O15254|P11310|P28330|P49748|Q15067	hsa:33|hsa:34|hsa:37|hsa:51|hsa:8310
317	O15254|P11310|P28330|P49748|Q15067	hsa:33|hsa:34|hsa:37|hsa:51|hsa:8310
318	P50897|Q9UMR5	hsa:5538|hsa:9374
326	Q9H5J4	hsa:79071
328	Q53GQ0	hsa:51144
330	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
332	Q9NZ01	hsa:9524
336	Q9BW60	hsa:64834
339	Q53GQ0	hsa:51144
341	B0YJ81|Q5VWC8|Q6Y1H2|Q9P035	hsa:201562|hsa:401494|hsa:51495|hsa:9200
343	Q9NZ01	hsa:9524
345	Q9GZR5	hsa:6785
