#id1	id2	type	subtype
47	46	PPrel	activation
48	18	PPrel	activation
33	36	PPrel	activation
42	33	PPrel	activation
45	44	PPrel	activation|phosphorylation
16	15	PPrel	activation
17	28	PPrel	activation
46	45	PPrel	activation|phosphorylation
40	42	PPrel	activation
18	17	PPrel	activation
19	47	PPrel	activation
28	16	PPrel	compound
34	9	PPrel	activation|phosphorylation
23	19	PPrel	activation
39	32	PPrel	activation
38	39	PPrel	inhibition|phosphorylation
37	14	PPrel	indirect effect
28	37	PPrel	compound
6	38	PPrel	inhibition
29	42	PPrel	inhibition
44	10	PPrel	activation|phosphorylation
41	6	PPrel	activation|phosphorylation
27	41	PPrel	activation|phosphorylation
43	27	PPrel	activation|phosphorylation
