#id	component_ids	mapped_names	kegg_names
483	268|301	P05107|P20701	hsa:3683|hsa:3689
484	261|262	P05107|P20701	hsa:3683|hsa:3689
485	252|253	P05107|P20701	hsa:3683|hsa:3689
486	213|214	P05107|P20701	hsa:3683|hsa:3689
487	211|212	P05107|P11215	hsa:3684|hsa:3689
488	196|198	P05556|P13612	hsa:3676|hsa:3688
489	194|195	P05556|Q13797	hsa:3680|hsa:3688
490	236|237	P05107|P20701	hsa:3683|hsa:3689
491	233|234	P05107|P20701	hsa:3683|hsa:3689
492	225|265	P05107|P11215	hsa:3684|hsa:3689
493	86|87	P05107|P20701	hsa:3683|hsa:3689
494	193|197	P13612|P26010	hsa:3676|hsa:3695
495	121|132	P78357|Q12860	hsa:1272|hsa:8506
496	120|126	Q02246|Q9UHC6	hsa:26047|hsa:6900
497	119|133	P78357|Q12860	hsa:1272|hsa:8506
498	118|128	Q02246|Q9UHC6	hsa:26047|hsa:6900
