#id	mapped_name	kegg_name
10	Q15746|Q32MK0|Q86YV6|Q9H1R3	hsa:340156|hsa:4638|hsa:85366|hsa:91807
11	P14649|P24844|P60660	hsa:10398|hsa:140465|hsa:4637
12	O14974|O60237|P36873|P62136|P62140|Q9BZL4	hsa:4659|hsa:4660|hsa:54776|hsa:5499|hsa:5500|hsa:5501
13	O75116|Q13464	hsa:6093|hsa:9475
14	P05129|P05771|P17252|P24723|Q02156|Q04759|Q05655	hsa:5578|hsa:5579|hsa:5580|hsa:5581|hsa:5582|hsa:5583|hsa:5588
15	P61586	hsa:387
16	O15085|Q92888|Q9NZN5	hsa:23365|hsa:9138|hsa:9826
18	P62736|P63267	hsa:59|hsa:72
22	P25100|P35348|P35368	hsa:146|hsa:147|hsa:148
23	P29992|P50148	hsa:2767|hsa:2776
24	Q03113|Q14344	hsa:10672|hsa:2768
25	Q00722|Q01970|Q15147|Q9NQ66	hsa:23236|hsa:5330|hsa:5331|hsa:5332
29	Q14571|Q14573|Q14643	hsa:3708|hsa:3709|hsa:3710
35	P0DP23|P0DP24|P0DP25|P27482|Q8TD86|Q96GE6|Q9NZT1	hsa:163688|hsa:51806|hsa:801|hsa:805|hsa:808|hsa:810|hsa:91860
38	O60840|Q01668|Q13698|Q13936	hsa:775|hsa:776|hsa:778|hsa:779
40	Q96A00	hsa:94274
44	O14974|O60237|P36873|P62136|P62140|Q9BZL4	hsa:4659|hsa:4660|hsa:54776|hsa:5499|hsa:5500|hsa:5501
45	P14649|P24844|P60660	hsa:10398|hsa:140465|hsa:4637
46	P62736|P63267	hsa:59|hsa:72
60	A8MYU2|Q12791|Q16558|Q86W47|Q9NPA1|Q9Y691	hsa:10242|hsa:157855|hsa:27094|hsa:27345|hsa:3778|hsa:3779
61	Q02928|Q5TCH4	hsa:1579|hsa:284541
62	O15496|O60733|P04054|P0C869|P14555|P39877|P47712|Q3MJ16|Q68DD2|Q86XP0|Q9BX93|Q9BZM1|Q9BZM2|Q9NZ20|Q9NZK7|Q9UNK4|Q9UP65	hsa:100137049|hsa:123745|hsa:255189|hsa:26279|hsa:283748|hsa:30814|hsa:391013|hsa:50487|hsa:5319|hsa:5320|hsa:5321|hsa:5322|hsa:64600|hsa:81579|hsa:8398|hsa:8399|hsa:84647|hsa:8605|hsa:8681
79	Q05682	hsa:800
81	P04049|P10398|P15056	hsa:369|hsa:5894|hsa:673
82	P36507|Q02750	hsa:5604|hsa:5605
83	P27361|P28482	hsa:5594|hsa:5595
89	P29274|P29275	hsa:135|hsa:136
90	P16066	hsa:4881
91	O43306|O60266|O60503|O95622|P40145|P51828|Q08462|Q08828|Q8NFM4	hsa:107|hsa:108|hsa:109|hsa:111|hsa:112|hsa:113|hsa:114|hsa:115|hsa:196883
94	P17612|P22612|P22694	hsa:5566|hsa:5567|hsa:5568
95	Q13976	hsa:5592
97	P33402|Q02108|Q02153	hsa:2977|hsa:2982|hsa:2983
112	Q15746|Q32MK0|Q86YV6|Q9H1R3	hsa:340156|hsa:4638|hsa:85366|hsa:91807
115	Q14571|Q14573|Q14643	hsa:3708|hsa:3709|hsa:3710
124	A8MYU2|Q12791|Q16558|Q86W47|Q9NPA1|Q9Y691	hsa:10242|hsa:157855|hsa:27094|hsa:27345|hsa:3778|hsa:3779
125	O60840|Q01668|Q13698|Q13936	hsa:775|hsa:776|hsa:778|hsa:779
137	O95467|P63092	hsa:2778
150	P20594	hsa:4882
151	P30556	hsa:185
152	P25101	hsa:1909
153	P37288|P47901	hsa:552|hsa:553
154	P43119	hsa:5739
155	O60894|O60895|O60896|Q16602	hsa:10203|hsa:10266|hsa:10267|hsa:10268
156	P35579|P35580|P35749|Q7Z406	hsa:4627|hsa:4628|hsa:4629|hsa:79784
157	P35579|P35580|P35749|Q7Z406	hsa:4627|hsa:4628|hsa:4629|hsa:79784
159	Q9Y6F6	hsa:10335
161	P01019	hsa:183
162	P01185	hsa:551
163	P01160	hsa:4878
164	P16860	hsa:4879
165	P23582	hsa:4880
166	P05305|P14138|P20800	hsa:1906|hsa:1907|hsa:1908
167	P01258|P10092	hsa:796|hsa:797
168	P35318	hsa:133
