#id1	id2	type	subtype
98	100	ECrel	compound
126	127	ECrel	compound
98	97	ECrel	compound
70	72	ECrel	compound
62	66	ECrel	compound
68	67	ECrel	compound
69	67	ECrel	compound
69	68	ECrel	compound
67	69	ECrel	compound
66	80	ECrel	compound
66	81	ECrel	compound
66	52	ECrel	compound
80	52	ECrel	compound
81	52	ECrel	compound
97	126	ECrel	compound
97	153	ECrel	compound
47	97	ECrel	compound
141	67	ECrel	compound
138	66	ECrel	compound
138	52	ECrel	compound
70	127	ECrel	compound
67	127	ECrel	compound
67	70	ECrel	compound
62	127	ECrel	compound
62	70	ECrel	compound
47	153	ECrel	compound
62	67	ECrel	compound
47	126	ECrel	compound
72	73	ECrel	compound
153	126	ECrel	compound
177	175	ECrel	compound
177	181	ECrel	compound
177	176	ECrel	compound
172	176	ECrel	compound
172	175	ECrel	compound
172	181	ECrel	compound
176	175	ECrel	compound
176	181	ECrel	compound
47	172	ECrel	compound
47	236	ECrel	compound
172	236	ECrel	compound
181	174	ECrel	compound
181	173	ECrel	compound
174	204	ECrel	compound
174	233	ECrel	compound
173	204	ECrel	compound
173	233	ECrel	compound
204	233	ECrel	compound
204	206	ECrel	compound
204	205	ECrel	compound
232	225	ECrel	compound
206	207	ECrel	compound
205	207	ECrel	compound
207	209	ECrel	compound
208	209	ECrel	compound
209	212	ECrel	compound
236	127	ECrel	compound
236	67	ECrel	compound
236	62	ECrel	compound
236	70	ECrel	compound
