#id	mapped_name	kegg_name
16	Q02252	hsa:4329
18	O00763|Q13085	hsa:31|hsa:32
19	O95822	hsa:23417
26	P80404	hsa:18
35	Q6NVY1	hsa:26275
60	Q02252	hsa:4329
63	Q96PE7	hsa:84693
64	P05165|P05166	hsa:5095|hsa:5096
66	Q9NTX5	hsa:55862
68	Q9H6R3	hsa:79611
69	Q9H6R3	hsa:79611
71	Q9NR19|Q9NUB1	hsa:55902|hsa:84532
72	Q9NR19|Q9NUB1	hsa:55902|hsa:84532
77	P00338|P07195|P07864|Q6ZMR3|Q9BYZ2	hsa:160287|hsa:3939|hsa:3945|hsa:3948|hsa:92483
83	P30084|P40939|Q08426	hsa:1892|hsa:1962|hsa:3030
105	P16219	hsa:35
110	P22033	hsa:4594
119	P53597|Q96I99|Q9P2R7	hsa:8801|hsa:8802|hsa:8803
120	P53597|Q96I99|Q9P2R7	hsa:8801|hsa:8802|hsa:8803
129	P24752|Q9BWD1	hsa:38|hsa:39
197	P09622	hsa:1738
198	P12694|P21953	hsa:593|hsa:594
199	P12694|P21953	hsa:593|hsa:594
200	P11182	hsa:1629
214	O15254|Q15067	hsa:51|hsa:8310
