#id	component_ids	mapped_names	kegg_names
713	157|158	P10275	hsa:3320 hsa:3326 hsa:7184|hsa:367
714	159|160	P10275	hsa:367|hsa:367
716	128|131	P05556	hsa:3655 hsa:3673 hsa:3674 hsa:3675 hsa:3685|hsa:3688
717	137|138|139	P22681	hsa:1398 hsa:1399|hsa:1398 hsa:1399|hsa:867
718	330|682	Q13309	hsa:6500 hsa:8454 hsa:9978|hsa:6502
719	257|258	P36897|P37173	hsa:7046|hsa:7048
720	320|321	P01106|P61244	hsa:4149|hsa:4609
722	328|329	P24941	hsa:1017|hsa:898 hsa:9134
723	121|135	P55211|Q9UKG1	hsa:26060|hsa:842
724	243|244|245|246|247	P40337|P62877|Q13617|Q15369|Q15370	hsa:6921|hsa:6923|hsa:7428|hsa:8453|hsa:9978
726	304|305	P10826	hsa:5915|hsa:6256 hsa:6257 hsa:6258
727	634|635	O14746	hsa:7015
