#id1	id2	type	subtype
61	24	PPrel	activation|dephosphorylation
53	222	PPrel	inhibition
37	220	PPrel	inhibition
37	222	PPrel	inhibition
227	27	PPrel	activation|phosphorylation
65	76	PPrel	inhibition|phosphorylation
35	67	PPrel	inhibition
50	67	PPrel	inhibition
229	220	PPrel	inhibition|ubiquitination
230	53	PPrel	inhibition|ubiquitination
50	26	PPrel	activation
230	37	PPrel	inhibition|ubiquitination
39	51	PPrel	inhibition
231	44	PPrel	inhibition|ubiquitination
39	52	PPrel	inhibition
231	232	PPrel	activation|indirect effect
40	52	PPrel	activation
232	227	PPrel	inhibition|ubiquitination
38	52	PPrel	activation|phosphorylation
33	232	PPrel	activation|dephosphorylation
36	52	PPrel	activation|phosphorylation
4	39	PPrel	inhibition
36	64	PPrel	inhibition|phosphorylation
28	52	PPrel	activation|phosphorylation
64	72	PPrel	activation|dephosphorylation
28	36	PPrel	activation|phosphorylation
82	79	PPrel	activation|phosphorylation
64	71	PPrel	activation|dephosphorylation
64	70	PPrel	activation|dephosphorylation
79	30	PPrel	activation
64	66	PPrel	activation|dephosphorylation
31	32	PPrel	binding/association
36	61	PPrel	inhibition|phosphorylation
233	8	PPrel	inhibition
44	45	PPrel	inhibition
45	234	PPrel	inhibition
34	61	PPrel	binding/association
220	53	PPrel	inhibition|phosphorylation
221	66	PPrel	activation|phosphorylation
220	200	PPrel	inhibition|phosphorylation
222	63	PPrel	inhibition|phosphorylation
222	200	PPrel	inhibition|phosphorylation
221	71	PPrel	activation|phosphorylation
222	198	PPrel	inhibition|phosphorylation
223	49	PPrel	activation|phosphorylation
43	66	PPrel	inhibition|phosphorylation
42	66	PPrel	inhibition|phosphorylation
43	24	PPrel	inhibition|phosphorylation
42	24	PPrel	inhibition|phosphorylation
27	61	PPrel	activation|phosphorylation
188	189	PPrel	inhibition
27	42	PPrel	inhibition|phosphorylation
63	224	PPrel	binding/association
224	225	PPrel	binding/association
55	57	PPrel	activation|indirect effect
62	225	PPrel	binding/association
196	200	PPrel	binding/association
226	225	PPrel	activation|phosphorylation
199	200	PPrel	binding/association
