#id	mapped_name	kegg_name
6	P27361|P28482	hsa:5594|hsa:5595
7	P36507|Q02750	hsa:5604|hsa:5605
8	P04049	hsa:5894
9	O14807|P01111|P01112|P01116|P10301|P62070	hsa:22800|hsa:22808|hsa:3265|hsa:3845|hsa:4893|hsa:6237
14	P62993	hsa:2885
15	Q07889|Q07890	hsa:6654|hsa:6655
18	P31749|P31751|Q9Y243	hsa:10000|hsa:207|hsa:208
19	O00329|O00459|P27986|P42336|P42338|Q92569	hsa:5290|hsa:5291|hsa:5293|hsa:5295|hsa:5296|hsa:8503
22	P29353|P98077|Q6S5L8|Q92529	hsa:25759|hsa:399694|hsa:53358|hsa:6464
23	P21583	hsa:4254
24	P00533|P06213|P09619|P10721|P16234	hsa:1956|hsa:3643|hsa:3815|hsa:5156|hsa:5159
25	Q13480|Q9UQC2	hsa:2549|hsa:9846
26	Q06124	hsa:5781
27	Q12967	hsa:5900
28	P11233|P11234	hsa:5898|hsa:5899
32	P61586	hsa:387
36	O00222|O15303|P25024|P25025|P25116|P30518|P30556|P37288|P41594|P43088|P43657|P47901|Q13255|Q14416|Q14831|Q14832|Q14833|Q92633|Q99677|Q9H1C0|Q9HBW0|Q9UBY5	hsa:10161|hsa:185|hsa:1902|hsa:2149|hsa:23566|hsa:2846|hsa:2911|hsa:2912|hsa:2913|hsa:2914|hsa:2915|hsa:2916|hsa:2917|hsa:2918|hsa:3577|hsa:3579|hsa:552|hsa:553|hsa:554|hsa:57121|hsa:5737|hsa:9170
37	P16885|P19174	hsa:5335|hsa:5336
50	O95398|Q8WZA2	hsa:10411|hsa:11069
51	P17252	hsa:5578
53	O14939|Q13393	hsa:5337|hsa:5338
54	Q00722|Q01970|Q15147|Q9NQ66	hsa:23236|hsa:5330|hsa:5331|hsa:5332
57	P49815|Q92574	hsa:7248|hsa:7249
58	Q15382	hsa:6009
59	P42345	hsa:2475
70	P61586	hsa:387
78	O14986|O60331|Q99755	hsa:23396|hsa:8394|hsa:8395
82	Q14344	hsa:10672
83	P48736|Q5UE93|Q8WYR1	hsa:146850|hsa:23533|hsa:5294
84	O43739|Q15438|Q99418|Q9UIA0	hsa:27128|hsa:9265|hsa:9266|hsa:9267
85	P84077	hsa:375
86	O95467|P63092	hsa:2778
87	O43306|O60266|O60503|O95622|P40145|P51828|Q08462|Q08828|Q8NFM4	hsa:107|hsa:108|hsa:109|hsa:111|hsa:112|hsa:113|hsa:114|hsa:115|hsa:196883
91	P10301|P62070	hsa:22800|hsa:6237
98	Q14289	hsa:2185
99	Q03113	hsa:2768
104	P0C869|P47712|Q3MJ16|Q68DD2|Q86XP0|Q9UP65	hsa:100137049|hsa:123745|hsa:255189|hsa:283748|hsa:5321|hsa:8605|hsa:8681
105	O14494|O14495|O43688	hsa:8611|hsa:8612|hsa:8613
106	O75912|P23743|P49619|P52429|P52824|Q13574|Q16760|Q5KSL6|Q86XP1|Q9Y6T7	hsa:139189|hsa:1606|hsa:1607|hsa:1608|hsa:160851|hsa:1609|hsa:8525|hsa:8526|hsa:8527|hsa:9162
113	Q9NRA0|Q9NYA1	hsa:56848|hsa:8877
126	P01127|P04085|Q9GZP0|Q9NRA1	hsa:5154|hsa:5155|hsa:56034|hsa:80310
127	P01308	hsa:3630
128	P01133	hsa:1950
130	P50570|Q05193|Q9UQ16	hsa:1759|hsa:1785|hsa:26052
131	P50570|Q05193|Q9UQ16	hsa:1759|hsa:1785|hsa:26052
135	P10145	hsa:3576
138	P06241	hsa:2534
139	Q9UQC2	hsa:9846
140	P12319|P30273|Q01362	hsa:2205|hsa:2206|hsa:2207
141	P43405	hsa:6850
151	P01185	hsa:551
152	P62330|P84077	hsa:375|hsa:382
157	O15120|Q99943|Q9NRZ5|Q9NRZ7|Q9NUQ2	hsa:10554|hsa:10555|hsa:55326|hsa:56894|hsa:56895
159	P00734	hsa:2147
160	P01019	hsa:183
