#id	mapped_name	kegg_name
24	P17787|P30926|P32297|P36544|P43681|Q15825	hsa:1136|hsa:1137|hsa:1139|hsa:1141|hsa:1143|hsa:8973
25	P11229	hsa:1128
26	P08172	hsa:1129
27	P08173	hsa:1132
28	P22303	hsa:43
32	Q16572	hsa:6572
36	O43306|O60266|O60503|O95622|P40145|P51828|Q08462|Q08828|Q8NFM4	hsa:107|hsa:108|hsa:109|hsa:111|hsa:112|hsa:113|hsa:114|hsa:115|hsa:196883
37	P17612|P22612|P22694	hsa:5566|hsa:5567|hsa:5568
38	P29992|P50148	hsa:2767|hsa:2776
39	Q00722|Q01970|Q15147|Q9NQ66	hsa:23236|hsa:5330|hsa:5331|hsa:5332
49	Q14571|Q14573|Q14643	hsa:3708|hsa:3709|hsa:3710
52	P05129|P05771|P17252	hsa:5578|hsa:5579|hsa:5582
56	P28329	hsa:1103
57	Q9GZV3	hsa:60482
65	O00555|Q00975	hsa:773|hsa:774
105	O14610|O14775|O60262|P04899|P08754|P09471|P16520|P50150|P50151|P59768|P61952|P62873|P62879|P63096|P63211|P63215|P63218|Q9HAV0|Q9P2W3|Q9UBI6|Q9UK08	hsa:10681|hsa:2770|hsa:2771|hsa:2773|hsa:2775|hsa:2782|hsa:2783|hsa:2784|hsa:2785|hsa:2786|hsa:2787|hsa:2788|hsa:2790|hsa:2791|hsa:2792|hsa:2793|hsa:51764|hsa:54331|hsa:55970|hsa:59345|hsa:94235
108	P08912	hsa:1133
109	P20309	hsa:1131
115	P08173	hsa:1132
124	P22303	hsa:43
125	B7U540|O43525|O43526|P48050|P51787|P56696|P63252|Q14500|Q9NR82|Q9UNX9	hsa:100134444|hsa:3759|hsa:3761|hsa:3768|hsa:3770|hsa:3784|hsa:3785|hsa:3786|hsa:56479|hsa:9132
134	P27361|P28482	hsa:5594|hsa:5595
135	O43889|P16220|P18848|Q02930|Q68CJ9|Q70SY1|Q8TEY5|Q96BA8	hsa:10488|hsa:1385|hsa:148327|hsa:468|hsa:64764|hsa:84699|hsa:90993|hsa:9586
137	Q13554|Q13555|Q13557|Q16566|Q9UQM7	hsa:814|hsa:815|hsa:816|hsa:817|hsa:818
142	O14610|O14775|O60262|P04899|P08754|P09471|P16520|P50150|P50151|P59768|P61952|P62873|P62879|P63096|P63211|P63215|P63218|Q9HAV0|Q9P2W3|Q9UBI6|Q9UK08	hsa:10681|hsa:2770|hsa:2771|hsa:2773|hsa:2775|hsa:2782|hsa:2783|hsa:2784|hsa:2785|hsa:2786|hsa:2787|hsa:2788|hsa:2790|hsa:2791|hsa:2792|hsa:2793|hsa:51764|hsa:54331|hsa:55970|hsa:59345|hsa:94235
147	P08172	hsa:1129
150	O00329|O00459|P27986|P42336|P42338|Q92569	hsa:5290|hsa:5291|hsa:5293|hsa:5295|hsa:5296|hsa:8503
151	P31749|P31751|Q9Y243	hsa:10000|hsa:207|hsa:208
152	P10415	hsa:596
159	O60840|Q01668|Q13698|Q13936	hsa:775|hsa:776|hsa:778|hsa:779
162	P36544	hsa:1139
164	P08912|P11229|P20309	hsa:1128|hsa:1131|hsa:1133
175	P48736|Q5UE93|Q8WYR1	hsa:146850|hsa:23533|hsa:5294
176	P01111|P01112|P01116	hsa:3265|hsa:3845|hsa:4893
177	Q02750	hsa:5604
178	P27361|P28482	hsa:5594|hsa:5595
179	P01100	hsa:2353
189	O60674	hsa:3717
193	P06241	hsa:2534
195	P48051|P48549	hsa:3760|hsa:3763
