#id	component_ids	mapped_names	kegg_names
294	190|193	Q06187|Q8WV28	hsa:29760|hsa:695
295	10|11|121	Q99836|Q9Y4K3	hsa:3654 hsa:51135|hsa:4615|hsa:7189
296	114|51	O43318	hsa:10454 hsa:23118 hsa:257397|hsa:6885
297	12|13|14	Q13546|Q15628	hsa:7186 hsa:7188|hsa:8717|hsa:8737
298	122|123	P58753|Q99836	hsa:114609|hsa:4615
299	124|125	Q9Y4K3	hsa:3654 hsa:51135|hsa:7189
300	126|127	Q86XR7|Q8IUC6	hsa:148022|hsa:353376
301	128|129	Q13546|Q9Y4K3	hsa:7189|hsa:8737
302	194|70	Q12933|Q13114	hsa:7186|hsa:7187
303	144|145	Q12933|Q9Y4K3	hsa:7186|hsa:7189
304	255|256	P01374|Q06643	hsa:4049|hsa:4050
305	229|230	O00463|Q12933	hsa:7186|hsa:7188
306	34|35	Q12933|Q13114	hsa:7186|hsa:7187
307	77|78	Q12933|Q13114	hsa:7186|hsa:7187
308	43|44	P19838|Q04206	hsa:4790|hsa:5970
309	150|151	P19838|Q04206	hsa:4790|hsa:5970
310	153|154	P19838|Q04206	hsa:4790|hsa:5970
311	42|73	Q00653|Q01201	hsa:4791|hsa:5971
312	38|39|40	O14920|O15111|Q9Y6K9	hsa:1147|hsa:3551|hsa:8517
313	281|282	Q13114|Q9Y4K3	hsa:7187|hsa:7189
314	289|290	Q13114|Q9Y4K3	hsa:7187|hsa:7189
