#id	component_ids	mapped_names	kegg_names
654	178|179|180	P01589|P14784|P31785	hsa:3559|hsa:3560|hsa:3561
655	64|66	P14784|P31785	hsa:3560|hsa:3561
656	177|63	P24394|P31785	hsa:3561|hsa:3566
657	176|62	P16871|P31785	hsa:3561|hsa:3575
658	175|61	P31785|Q01113	hsa:3561|hsa:3581
659	174|60|65	P14784|P31785|Q13261	hsa:3560|hsa:3561|hsa:3601
660	173|59	P31785|Q9HBE5	hsa:3561|hsa:50615
661	171|172	P16871|Q9HC73	hsa:3575|hsa:64109
662	182|68	P26951|P32927	hsa:1439|hsa:3563
663	181|67	P32927|Q01344	hsa:1439|hsa:3568
664	183|184	P15509|P32927	hsa:1438|hsa:1439
665	205|206	P24394|P78552	hsa:3566|hsa:3597
666	204|630	P24394|Q14627	hsa:3566|hsa:3598
667	211|212	P08887|P40189	hsa:3570|hsa:3572
668	210|76	P40189|Q14626	hsa:3572|hsa:3590
669	202|203	P42701|Q99665	hsa:3594|hsa:3595
670	200|201	P42701|Q5VWK5	hsa:149233|hsa:3594
671	451|452	P40189|Q6UWB1	hsa:3572|hsa:9466
672	454|455	Q8NI17|Q99650	hsa:133396|hsa:9180
673	208|70|73	P26992|P40189|P42702	hsa:1271|hsa:3572|hsa:3977
674	69|72	P40189|P42702	hsa:3572|hsa:3977
675	71|74	P40189|P42702	hsa:3572|hsa:3977
676	209|75	P40189|Q99650	hsa:3572|hsa:9180
677	146|147	Q08334|Q13651	hsa:3587|hsa:3588
678	145|51	Q6UXL0|Q9UHF4	hsa:53832|hsa:53833
679	144|50	Q6UXL0|Q8N6P7	hsa:53833|hsa:58985
680	57|58	Q08334|Q8N6P7	hsa:3588|hsa:58985
681	651|652	Q08334|Q9UHF4	hsa:3588|hsa:53832
682	142|143	Q08334|Q8IU57	hsa:163702|hsa:3588
683	150|151	P17181|P48551	hsa:3454|hsa:3455
684	148|149	P15260|P38484	hsa:3459|hsa:3460
685	80|81	P14778|Q9NPH3	hsa:3554|hsa:3556
686	471|472	Q9HB29|Q9NPH3	hsa:3556|hsa:8808
687	77|78	O95256|Q13478	hsa:8807|hsa:8809
688	478|653	Q01638|Q9NPH3	hsa:3556|hsa:9173
689	349|350	Q8NAC3|Q96F46	hsa:23765|hsa:84818
690	348|82	Q96F46|Q9NRM6	hsa:23765|hsa:55540
691	92|93	P36897|P37173	hsa:7046|hsa:7048
692	538|539	P37023|P37173	hsa:7048|hsa:94
693	544|545	P27037|P37023	hsa:92|hsa:94
694	546|547	P37023|Q13873	hsa:659|hsa:94
695	90|91	P27037|P36896	hsa:91|hsa:92
696	522|523	P27037|P36897	hsa:7046|hsa:92
697	524|525	P36897|Q13705	hsa:7046|hsa:93
698	55|89	P36896|Q13705	hsa:91|hsa:93
699	503|56	P27037|Q8NER5	hsa:130399|hsa:92
700	504|54	Q13705|Q8NER5	hsa:130399|hsa:93
701	535|536	P36896|Q13873	hsa:659|hsa:91
702	87|88	Q04771|Q16671	hsa:269|hsa:90
703	562|563	P36894|Q16671	hsa:269|hsa:657
704	83|84	P27037|P36894	hsa:657|hsa:92
705	566|567	P36894|Q13705	hsa:657|hsa:93
706	570|571	P36894|Q13873	hsa:657|hsa:659
707	565|85	O00238|P27037	hsa:658|hsa:92
708	568|569	O00238|Q13705	hsa:658|hsa:93
709	53|572	O00238|Q13873	hsa:658|hsa:659
710	573|86	P27037|Q04771	hsa:90|hsa:92
711	574|575	Q04771|Q13705	hsa:90|hsa:93
712	576|577	Q04771|Q13873	hsa:659|hsa:90
713	587|588	P27037|P36894	hsa:657|hsa:92
714	591|592	P36894|Q13705	hsa:657|hsa:93
715	595|596	P36894|Q13873	hsa:657|hsa:659
716	589|590	O00238|P27037	hsa:658|hsa:92
717	593|594	O00238|Q13705	hsa:658|hsa:93
718	586|597	O00238|Q13873	hsa:658|hsa:659
