#id1	id2	type	subtype
72	26	PPrel	activation
34	87	PPrel	inhibition|phosphorylation
72	24	PPrel	activation
87	83	PPrel	activation
76	79	PPrel	activation
87	84	PPrel	inhibition
76	115	PPrel	activation
87	82	PPrel	inhibition
76	19	PPrel	activation
84	83	PPrel	inhibition
76	26	PPrel	activation
82	83	PPrel	inhibition
76	24	PPrel	activation
78	116	PPrel	binding/association
121	79	PPrel	activation
121	115	PPrel	activation
121	19	PPrel	activation
32	30	PPrel	activation
121	26	PPrel	activation
121	24	PPrel	activation
123	79	PPrel	activation
32	169	PPrel	activation
123	115	PPrel	activation
32	170	PPrel	activation
123	19	PPrel	activation
20	30	PPrel	activation
123	26	PPrel	activation
20	169	PPrel	activation
123	24	PPrel	activation
20	170	PPrel	activation
79	78	PPrel	activation|phosphorylation
153	170	PPrel	activation
115	116	PPrel	activation|phosphorylation
153	171	PPrel	activation
19	28	PPrel	activation
75	172	PPrel	activation
75	70	PPrel	activation
70	150	PPrel	activation|phosphorylation
104	71	PPrel	activation
29	16	PPrel	activation|phosphorylation
148	74	PPrel	activation
16	15	PPrel	activation|phosphorylation
105	73	PPrel	activation
15	131	PPrel	activation
106	72	PPrel	activation
16	14	PPrel	inhibition|phosphorylation
107	76	PPrel	activation
14	132	PPrel	inhibition
120	121	PPrel	activation
29	18	PPrel	inhibition|phosphorylation
122	123	PPrel	activation
29	13	PPrel	inhibition|phosphorylation
29	138	PPrel	inhibition|phosphorylation
25	36	PPrel	activation|indirect effect
24	23	PPrel	activation
30	79	PPrel	activation
23	22	PPrel	activation
30	115	PPrel	activation
22	37	PPrel	activation
30	19	PPrel	activation
37	36	PPrel	activation
30	26	PPrel	activation
36	35	PPrel	activation|phosphorylation
30	24	PPrel	activation
35	34	PPrel	activation|phosphorylation
169	79	PPrel	activation
169	115	PPrel	activation
169	19	PPrel	activation
169	26	PPrel	activation
169	24	PPrel	activation
170	79	PPrel	activation
170	115	PPrel	activation
170	19	PPrel	activation
170	26	PPrel	activation
170	24	PPrel	activation
171	79	PPrel	activation
171	115	PPrel	activation
171	19	PPrel	activation
171	26	PPrel	activation
171	24	PPrel	activation
172	79	PPrel	activation
172	115	PPrel	activation
172	19	PPrel	activation
172	26	PPrel	activation
172	24	PPrel	activation
70	79	PPrel	activation
70	115	PPrel	activation
70	19	PPrel	activation
70	26	PPrel	activation
70	24	PPrel	activation
71	79	PPrel	activation
71	115	PPrel	activation
71	19	PPrel	activation
71	26	PPrel	activation
71	24	PPrel	activation
74	79	PPrel	activation
74	115	PPrel	activation
74	19	PPrel	activation
74	26	PPrel	activation
74	24	PPrel	activation
73	79	PPrel	activation
73	115	PPrel	activation
73	19	PPrel	activation
73	26	PPrel	activation
73	24	PPrel	activation
72	79	PPrel	activation
72	115	PPrel	activation
72	19	PPrel	activation
