#id1	id2	type	subtype
81	47	ECrel	compound
47	75	ECrel	compound
80	141	ECrel	compound
47	49	ECrel	compound
71	141	ECrel	compound
167	139	ECrel	compound
69	141	ECrel	compound
70	141	ECrel	compound
86	49	ECrel	compound
81	52	ECrel	compound
184	76	ECrel	compound
184	77	ECrel	compound
47	86	ECrel	compound
144	184	ECrel	compound
167	184	ECrel	compound
169	49	ECrel	compound
169	75	ECrel	compound
52	49	ECrel	compound
169	146	ECrel	compound
55	54	ECrel	compound
169	141	ECrel	compound
76	169	ECrel	compound
62	55	ECrel	compound
77	169	ECrel	compound
62	53	ECrel	compound
81	55	ECrel	compound
167	47	ECrel	compound
81	53	ECrel	compound
47	52	ECrel	compound
51	61	ECrel	compound
85	61	ECrel	compound
81	62	ECrel	compound
70	71	ECrel	compound
81	49	ECrel	compound
55	56	ECrel	compound
146	73	ECrel	compound
80	71	ECrel	compound
53	54	ECrel	compound
75	73	ECrel	compound
75	146	ECrel	compound
53	56	ECrel	compound
49	73	ECrel	compound
54	59	ECrel	compound
49	146	ECrel	compound
54	63	ECrel	compound
148	144	ECrel	compound
56	59	ECrel	compound
148	146	ECrel	compound
56	63	ECrel	compound
86	148	ECrel	compound
59	63	ECrel	compound
52	148	ECrel	compound
59	60	ECrel	compound
60	51	ECrel	compound
81	75	ECrel	compound
86	75	ECrel	compound
60	85	ECrel	compound
50	81	ECrel	compound
60	61	ECrel	compound
50	62	ECrel	compound
81	86	ECrel	compound
50	55	ECrel	compound
52	75	ECrel	compound
51	85	ECrel	compound
146	144	ECrel	compound
50	53	ECrel	compound
77	73	ECrel	compound
144	76	ECrel	compound
139	76	ECrel	compound
77	144	ECrel	compound
139	77	ECrel	compound
80	66	ECrel	compound
76	141	ECrel	compound
76	73	ECrel	compound
70	65	ECrel	compound
139	144	ECrel	compound
141	73	ECrel	compound
141	77	ECrel	compound
70	68	ECrel	compound
69	64	ECrel	compound
65	68	ECrel	compound
69	71	ECrel	compound
64	62	ECrel	compound
65	63	ECrel	compound
