#id	mapped_name	kegg_name
14	O15399|Q05586|Q12879|Q13224|Q14957	hsa:2902|hsa:2903|hsa:2904|hsa:2905|hsa:2906
17	P0DP23|P0DP24|P0DP25|P27482|Q8TD86|Q96GE6|Q9NZT1	hsa:163688|hsa:51806|hsa:801|hsa:805|hsa:808|hsa:810|hsa:91860
18	Q13554|Q13555|Q13557|Q9UQM7	hsa:815|hsa:816|hsa:817|hsa:818
19	P29475	hsa:4842
22	P33402|Q02108|Q02153	hsa:2977|hsa:2982|hsa:2983
24	Q13237|Q13976	hsa:5592|hsa:5593
25	P49286	hsa:4544
26	Q00722|Q01970|Q15147|Q9NQ66	hsa:23236|hsa:5330|hsa:5331|hsa:5332
28	P05129|P05771|P17252	hsa:5578|hsa:5579|hsa:5582
30	O14610|O14775|O60262|P16520|P50148|P50150|P50151|P59768|P61952|P62873|P62879|P63211|P63215|P63218|Q9HAV0|Q9P2W3|Q9UBI6|Q9UK08	hsa:10681|hsa:2776|hsa:2782|hsa:2783|hsa:2784|hsa:2785|hsa:2786|hsa:2787|hsa:2788|hsa:2790|hsa:2791|hsa:2792|hsa:2793|hsa:51764|hsa:54331|hsa:55970|hsa:59345|hsa:94235
34	O43497|O95180|Q9P0X4	hsa:8911|hsa:8912|hsa:8913
35	Q14573|Q14643	hsa:3708|hsa:3710
37	P21817|Q15413|Q92736	hsa:6261|hsa:6262|hsa:6263
48	P42261|P42262|P42263|P48058	hsa:2890|hsa:2891|hsa:2892|hsa:2893
53	P27361|P28482	hsa:5594|hsa:5595
57	P41586	hsa:117
58	O43306|O60266|O60503|O95622|P40145|P51828|Q08462|Q08828|Q8NFM4|Q96PN6	hsa:107|hsa:108|hsa:109|hsa:111|hsa:112|hsa:113|hsa:114|hsa:115|hsa:196883|hsa:55811
60	P17612|P22612|P22694	hsa:5566|hsa:5567|hsa:5568
65	O14610|O14775|O60262|O95467|P16520|P50150|P50151|P59768|P61952|P62873|P62879|P63092|P63211|P63215|P63218|Q9HAV0|Q9P2W3|Q9UBI6|Q9UK08	hsa:10681|hsa:2778|hsa:2782|hsa:2783|hsa:2784|hsa:2785|hsa:2786|hsa:2787|hsa:2788|hsa:2790|hsa:2791|hsa:2792|hsa:2793|hsa:51764|hsa:54331|hsa:55970|hsa:59345|hsa:94235
67	Q9Y272	hsa:51655
72	O15399|Q05586|Q12879|Q13224|Q14957	hsa:2902|hsa:2903|hsa:2904|hsa:2905|hsa:2906
74	P0DP23|P0DP24|P0DP25|P27482|Q8TD86|Q96GE6|Q9NZT1	hsa:163688|hsa:51806|hsa:801|hsa:805|hsa:808|hsa:810|hsa:91860
75	Q13554|Q13555|Q13557|Q9UQM7	hsa:815|hsa:816|hsa:817|hsa:818
76	P29475	hsa:4842
81	P42261|P42262|P42263|P48058	hsa:2890|hsa:2891|hsa:2892|hsa:2893
86	P41586	hsa:117
87	O43306|O60266|O60503|O95622|P40145|P51828|Q08462|Q08828|Q8NFM4|Q96PN6	hsa:107|hsa:108|hsa:109|hsa:111|hsa:112|hsa:113|hsa:114|hsa:115|hsa:196883|hsa:55811
89	P17612|P22612|P22694	hsa:5566|hsa:5567|hsa:5568
95	Q9Y272	hsa:51655
96	Q01668|Q13936	hsa:775|hsa:776
99	P27361|P28482	hsa:5594|hsa:5595
104	O95467|P63092	hsa:2778
105	O14610|O14775|O60262|P16520|P50150|P50151|P59768|P61952|P62873|P62879|P63211|P63215|P63218|Q9HAV0|Q9P2W3|Q9UBI6|Q9UK08	hsa:10681|hsa:2782|hsa:2783|hsa:2784|hsa:2785|hsa:2786|hsa:2787|hsa:2788|hsa:2790|hsa:2791|hsa:2792|hsa:2793|hsa:51764|hsa:54331|hsa:55970|hsa:59345|hsa:94235
112	O75052	hsa:9722
117	O14610|O14775|O60262|P04899|P08754|P09471|P16520|P50150|P50151|P59768|P61952|P62873|P62879|P63096|P63211|P63215|P63218|Q9HAV0|Q9P2W3|Q9UBI6|Q9UK08	hsa:10681|hsa:2770|hsa:2771|hsa:2773|hsa:2775|hsa:2782|hsa:2783|hsa:2784|hsa:2785|hsa:2786|hsa:2787|hsa:2788|hsa:2790|hsa:2791|hsa:2792|hsa:2793|hsa:51764|hsa:54331|hsa:55970|hsa:59345|hsa:94235
119	O75582	hsa:9252
121	O75582	hsa:9252
128	P16220	hsa:1385
130	P16220	hsa:1385
134	P48039	hsa:4543
135	O14610|O14775|O60262|P04899|P08754|P16520|P50150|P50151|P59768|P61952|P62873|P62879|P63096|P63211|P63215|P63218|Q9HAV0|Q9P2W3|Q9UBI6|Q9UK08	hsa:10681|hsa:2770|hsa:2771|hsa:2773|hsa:2782|hsa:2783|hsa:2784|hsa:2785|hsa:2786|hsa:2787|hsa:2788|hsa:2790|hsa:2791|hsa:2792|hsa:2793|hsa:51764|hsa:54331|hsa:55970|hsa:59345|hsa:94235
141	P48051|P48544|P48549|Q92806	hsa:3760|hsa:3762|hsa:3763|hsa:3765
146	O14610|O14775|O60262|P04899|P08754|P16520|P50150|P50151|P59768|P61952|P62873|P62879|P63096|P63211|P63215|P63218|Q9HAV0|Q9P2W3|Q9UBI6|Q9UK08	hsa:10681|hsa:2770|hsa:2771|hsa:2773|hsa:2782|hsa:2783|hsa:2784|hsa:2785|hsa:2786|hsa:2787|hsa:2788|hsa:2790|hsa:2791|hsa:2792|hsa:2793|hsa:51764|hsa:54331|hsa:55970|hsa:59345|hsa:94235
153	O15055|O15534|P56645	hsa:5187|hsa:8863|hsa:8864
154	P01100	hsa:2353
187	P18509	hsa:116
