#id	mapped_name	kegg_name
5	P01112	hsa:3265
8	P03956|P08253|P14780	hsa:4312|hsa:4313|hsa:4318
9	P19971	hsa:1890
10	P15692	hsa:7422
11	P10145	hsa:3576
12	P07996	hsa:7057
13	P00533	hsa:1956
14	P12830	hsa:999
15	P04626	hsa:2064
16	P42771	hsa:1029
17	P38936	hsa:1026
18	P01106	hsa:4609
19	Q9NS23	hsa:11186
20	O43293|P53355|Q9UIK4	hsa:1612|hsa:1613|hsa:23604
21	Q00987	hsa:4193
22	P04637	hsa:7157
23	O00716|Q01094|Q14209	hsa:1869|hsa:1870|hsa:1871
24	P06400	hsa:5925
25	P22607	hsa:2261
26	P11802	hsa:1019
28	P24385	hsa:595
30	O75582	hsa:9252
31	P42771	hsa:1029
32	P01133	hsa:1950
35	P27361|P28482	hsa:5594|hsa:5595
36	P36507|Q02750	hsa:5604|hsa:5605
37	P04049|P10398|P15056	hsa:369|hsa:5894|hsa:673
38	P01111|P01112|P01116	hsa:3265|hsa:3845|hsa:4893
121	P08253|P14780	hsa:4313|hsa:4318
122	O75631	hsa:7380
123	Q99075	hsa:1839
127	P12931	hsa:6714
